IQ-TREE version 3.0.1 for Linux x86 64-bit built May  5 2025
Developed by Bui Quang Minh, Thomas Wong, Nhan Ly-Trong, Huaiyan Ren
Contributed by Lam-Tung Nguyen, Dominik Schrempf, Chris Bielow,
Olga Chernomor, Michael Woodhams, Diep Thi Hoang, Heiko Schmidt

Host:    lnx820.umnh.utah.edu (AVX2, FMA3, 865 GB RAM)
Command: /home/bdentinger/iqtree-3.0.1-Linux/bin/iqtree3_intel -s data/packages/ITS/Amoenoboletus/aln.masked.fasta -m MFP -bb 1000 -nt AUTO -pre data/packages/ITS/Amoenoboletus/ref
Seed:    72811 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Aug 18 18:28:09 2025
Kernel:  AVX+FMA - auto-detect threads (72 CPU cores detected)

Reading alignment file data/packages/ITS/Amoenoboletus/aln.masked.fasta ... Fasta format detected
Reading fasta file: done in 0.000268994 secs using 28.63% CPU
Alignment most likely contains DNA/RNA sequences
Constructing alignment: done in 0.000736365 secs using 38.02% CPU
Alignment has 21 sequences with 700 columns, 263 distinct patterns
206 parsimony-informative, 37 singleton sites, 456 constant sites
                  Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 2.10777e-05 secs using 94.89% CPU
   1  Amoenoboletus_01    2.43%    passed     97.89%
   2  Amoenoboletus_02    0.00%    passed     95.78%
   3  Amoenoboletus_03    3.57%    passed     87.45%
   4  Amoenoboletus_04    1.71%    passed     97.81%
   5  Amoenoboletus_05    2.14%    passed     96.83%
   6  Amoenoboletus_06    1.71%    passed     98.74%
   7  Amoenoboletus_07    1.43%    passed     98.00%
   8  Amoenoboletus_08    1.71%    passed     97.81%
   9  Amoenoboletus_09    1.29%    passed     91.24%
  10  Amoenoboletus_10    3.57%    passed     99.31%
  11  Amoenoboletus_11    5.00%    passed     95.59%
  12  Amoenoboletus_12   38.71%    passed     91.03%
  13  Amoenoboletus_13    3.29%    passed     94.82%
  14  Amoenoboletus_14    4.71%    passed     96.69%
  15  Amoenoboletus_15    1.29%    passed     91.24%
  16  Amoenoboletus_16    2.71%    passed     98.81%
  17  Amoenoboletus_17    7.00%    passed     97.65%
  18  Amoenoboletus_18    5.57%    passed     98.25%
  19  Amoenoboletus_19   10.00%    passed     98.37%
  20  Amoenoboletus_20   17.29%    passed     83.60%
  21  Amoenoboletus_21    0.14%    passed     97.08%
****  TOTAL               5.49%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: Amoenoboletus_08 is identical to Amoenoboletus_04 but kept for subsequent analysis
NOTE: Amoenoboletus_15 is identical to Amoenoboletus_09 but kept for subsequent analysis
Checking for duplicate sequences: done in 9.16254e-05 secs using 99.32% CPU


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
Measuring multi-threading efficiency up to 72 CPU cores
Increase to 10 rounds for branch lengths
5839 trees examined
Threads: 1 / Time: 72.013 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -4744
Threads: 2 / Time: 58.316 sec / Speedup: 1.235 / Efficiency: 62% / LogL: -4744
Threads: 3 / Time: 63.004 sec / Speedup: 1.143 / Efficiency: 38% / LogL: -4744
Determining AUTO threadcount: done in 193.335 secs using 190.3% CPU
BEST NUMBER OF THREADS: 2

Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Optimizing NNI: done in 0.0106823 secs using 202.7% CPU
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -2608.613
Optimal log-likelihood: -2608.612
Rate parameters:  A-C: 0.79496  A-G: 6.05843  A-T: 1.34288  C-G: 0.65956  C-T: 4.19538  G-T: 1.00000
Base frequencies:  A: 0.223  C: 0.211  G: 0.255  T: 0.311
Proportion of invariable sites: 0.320
Gamma shape alpha: 1.601
Parameters optimization took 1 rounds (0.006 sec)
Time for fast ML tree search: 0.050 seconds

NOTE: ModelFinder requires 2 MB RAM!
ModelFinder will test up to 968 DNA models (sample size: 700 epsilon: 0.100) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            2750.514     39  5579.028     5583.755     5756.520
  2  JC+I          2722.447     40  5524.895     5529.872     5706.938
  3  JC+G4         2721.059     40  5522.118     5527.095     5704.161
  4  JC+I+G4       2721.286     41  5524.572     5529.806     5711.167
  5  JC+R2         2721.354     41  5524.707     5529.941     5711.302
  6  JC+R3         2720.985     43  5527.970     5533.738     5723.666
 14  JC+I+R2       2721.428     42  5526.856     5532.353     5718.001
 15  JC+I+R3       2721.386     44  5530.772     5536.818     5731.020
 24  JC+I          2722.447     40  5524.895     5529.872     5706.938
 25  JC+G4         2721.059     40  5522.118     5527.095     5704.161
 26  JC+I+G4       2721.286     41  5524.572     5529.806     5711.167
 27  JC+R2         2721.354     41  5524.707     5529.941     5711.302
 46  F81+I         2722.448     40  5524.896     5529.873     5706.939
 47  F81+G4        2721.059     40  5522.119     5527.096     5704.162
 48  F81+I+G4      2721.286     41  5524.571     5529.805     5711.166
 49  F81+R2        2721.315     41  5524.629     5529.863     5711.223
 68  F81+F+I       2710.685     43  5507.369     5513.137     5703.065
 69  F81+F+G4      2709.286     43  5504.571     5510.339     5700.268
 70  F81+F+I+G4    2709.509     44  5507.019     5513.064     5707.266
 71  F81+F+R2      2709.514     44  5507.028     5513.073     5707.275
 90  K2P+I         2628.670     41  5339.340     5344.574     5525.934
 91  K2P+G4        2626.661     41  5335.322     5340.556     5521.916
 92  K2P+I+G4      2626.920     42  5337.840     5343.338     5528.986
 93  K2P+R2        2626.774     42  5337.549     5343.046     5528.694
112  K2P+I         2628.670     41  5339.340     5344.574     5525.934
113  K2P+G4        2626.661     41  5335.322     5340.556     5521.916
114  K2P+I+G4      2626.920     42  5337.840     5343.338     5528.986
115  K2P+R2        2626.774     42  5337.549     5343.046     5528.694
134  HKY+I         2628.670     41  5339.340     5344.574     5525.934
135  HKY+G4        2626.661     41  5335.322     5340.556     5521.916
136  HKY+I+G4      2626.918     42  5337.836     5343.334     5528.982
137  HKY+R2        2626.750     42  5337.499     5342.997     5528.645
156  HKY+F+I       2615.431     44  5318.862     5324.908     5519.110
157  HKY+F+G4      2613.105     44  5314.209     5320.255     5514.457
158  HKY+F+I+G4    2613.430     45  5316.860     5323.190     5521.658
159  HKY+F+R2      2613.216     45  5316.433     5322.763     5521.231
178  TNe+I         2627.002     42  5338.004     5343.502     5529.149
179  TNe+G4        2625.472     42  5334.944     5340.442     5526.089
180  TNe+I+G4      2625.650     43  5337.299     5343.067     5532.996
181  TNe+R2        2625.483     43  5336.967     5342.735     5532.663
200  TNe+I         2627.002     42  5338.004     5343.502     5529.149
201  TNe+G4        2625.472     42  5334.944     5340.442     5526.089
202  TNe+I+G4      2625.650     43  5337.299     5343.067     5532.996
203  TNe+R2        2625.483     43  5336.967     5342.735     5532.663
222  TN+I          2627.002     42  5338.003     5343.501     5529.149
223  TN+G4         2625.470     42  5334.940     5340.438     5526.085
224  TN+I+G4       2625.647     43  5337.295     5343.063     5532.991
225  TN+R2         2625.467     43  5336.933     5342.701     5532.630
244  TN+F+I        2612.471     45  5314.942     5321.272     5519.740
245  TN+F+G4       2610.907     45  5311.815     5318.145     5516.613
246  TN+F+I+G4     2611.096     46  5314.193     5320.815     5523.543
247  TN+F+R2       2610.892     46  5313.784     5320.406     5523.134
266  K3P+I         2628.638     42  5341.277     5346.775     5532.422
267  K3P+G4        2626.652     42  5337.304     5342.802     5528.450
268  K3P+I+G4      2626.906     43  5339.813     5345.581     5535.509
269  K3P+R2        2626.715     43  5339.430     5345.198     5535.126
288  K3P+I         2628.638     42  5341.277     5346.775     5532.422
289  K3P+G4        2626.652     42  5337.304     5342.802     5528.450
290  K3P+I+G4      2626.906     43  5339.813     5345.581     5535.509
