Austroboletus_001	flas_f_60635|ITS|MH016816.1
Austroboletus_002	omdl_inat_225753507|ITS|PV818611.1
Austroboletus_003	mel_2532560a_its_austroboletus_novae_zelandiae|ITS|PV658044.1
Austroboletus_004	flas_f_72852|ITS|PP850678.1
Austroboletus_005	omdl_inat_164284557|ITS|OR732047.1
Austroboletus_006	acad_21388f|ITS|PV248420.1
Austroboletus_007	omdl_inat_188655055|ITS|PP959597.1
Austroboletus_008	hkas_145585|ITS|PV077783.1
Austroboletus_009	bpi_925459|ITS|PP830805.1
Austroboletus_010	dodd|ITS|MZ997388.1
Austroboletus_011	hfjau12002|ITS|ON207255.1
Austroboletus_012	hfjau12001|ITS|ON207254.1
Austroboletus_013	sl2033|ITS|OR354974.1
Austroboletus_014	mo_503394|ITS|OR449396.1
Austroboletus_015	inat61501074|ITS|OP028511.1
Austroboletus_016	fhmu:5876|ITS|NR_182390.1
Austroboletus_017	m41cr210|ITS|OP819290.1
Austroboletus_018	s.d._russell_ont_inaturalist_136569641|ITS|OP749655.1
Austroboletus_019	s.d._russell_ont_inaturalist_136746631|ITS|OP749271.1
Austroboletus_020	austroboletus_tequestae_farid_948|ITS|MZ961356.1
Austroboletus_021	s.d._russell_inaturalist_15946426|ITS|OP477001.1
Austroboletus_022	mushroom_observer_488172|ITS|OP327380.1
Austroboletus_023	fhmu5876|ITS|MZ855495.1
Austroboletus_024	fhmu5875|ITS|MZ855494.1
Austroboletus_025	pdd:101773|ITS|OP141471.1
Austroboletus_026	pdd:83000|ITS|OP141462.1
Austroboletus_027	pdd:113146|ITS|OP141437.1
Austroboletus_028	pdd:113011|ITS|OP141426.1
Austroboletus_029	pdd:106374|ITS|OP141404.1
Austroboletus_030	pdd:105660|ITS|OP141394.1
Austroboletus_031	pdd:105655|ITS|OP141389.1
Austroboletus_032	pdd:96985|ITS|OP141375.1
Austroboletus_033	pdd:96906|ITS|OP141370.1
Austroboletus_034	jlf10172|ITS|ON794743.1
Austroboletus_035	jlf10172|ITS|ON794735.1
Austroboletus_036	ba30|ITS|LC483918.1
Austroboletus_037	ba29|ITS|LC483917.1
Austroboletus_038	acad21102f_mushroomobserver.org/486557|ITS|OM716996.1
Austroboletus_039	acad21004f_mushroomobserver.org/451789|ITS|OL741469.1
Austroboletus_040	tyy_39|ITS|OK584430.1
Austroboletus_041	gsk_10|ITS|OK584417.1
Austroboletus_042	mel:2371703|ITS|NR_172750.1
Austroboletus_043	ny181454|ITS|JQ924300.1
Austroboletus_044	pdd89879|ITS|JQ924294.1
Austroboletus_045	pdd82496|ITS|JQ924290.1
Austroboletus_046	taxon_91|ITS|MW899425.1
Austroboletus_047	taxon_78|ITS|MW899419.1
Austroboletus_048	jbsd130772_ange388_and_mg776|ITS|MT581526.1
Austroboletus_049	jbsd130771_ange108_and_mg775|ITS|MT581525.1
Austroboletus_050	cfmr:dr592_isolatedjl_dr_48|ITS|MT581524.1
Austroboletus_051	cfmr:dr2859_isolatetjb_9787|ITS|MT581523.1
Austroboletus_052	cfmr:bz1824_isolatedjl_bz_27a|ITS|MT581522.1
Austroboletus_053	cfmr:both_3463|ITS|MT581521.1
Austroboletus_054	sfc20140823_02|ITS|MN794901.1
Austroboletus_055	le315558|ITS|MT893602.1
Austroboletus_056	le312524|ITS|MT893601.1
Austroboletus_057	mel:2382827|ITS|KP242221.1
Austroboletus_058	ad_c_54948|ITS|KP242220.1
Austroboletus_059	perth_7588682|ITS|KP242219.1
Austroboletus_060	perth7548966|ITS|KP242218.1
Austroboletus_061	perth_6660703|ITS|KP242217.1
Austroboletus_062	perth6658407|ITS|KP242216.1
Austroboletus_063	bri:aq0794222|ITS|KP242215.1
Austroboletus_064	mel:2382920|ITS|KP242214.1
Austroboletus_065	mel:2382826|ITS|KP242213.1
Austroboletus_066	bri:aq0796003|ITS|KP242212.1
Austroboletus_067	bri:aq0795791|ITS|KP242211.1
