Boletaceae_001	zgcsn139|ITS|PP979451.1
Boletaceae_002	zgcsn221|ITS|PP979450.1
Boletaceae_003	flas_f_61864|ITS|MH212119.1
Boletaceae_004	flas_f_60878|ITS|MH016864.1
Boletaceae_005	mel_2532593a__its_boletaceae|ITS|PV686861.1
Boletaceae_006	omdl_inat_173887925|ITS|PP574115.1
Boletaceae_007	flas_f_bw13|ITS|PQ772067.1
Boletaceae_008	omdl_inat_176803637|ITS|OR945102.1
Boletaceae_009	of4040|ITS|PQ552969.1
Boletaceae_010	of4023|ITS|PQ552961.1
Boletaceae_011	jeic0813|ITS|PQ552957.1
Boletaceae_012	jeic0799|ITS|PQ552953.1
Boletaceae_013	tn201726|ITS|LC832065.1
Boletaceae_014	tn201605|ITS|LC832004.1
Boletaceae_015	fire_survey_596b|ITS|OR244611.1
Boletaceae_016	trappe18568|ITS|PP906987.1
Boletaceae_017	kd_22_018|ITS|PP133250.1
Boletaceae_018	kd_23_006|ITS|PP133249.1
Boletaceae_019	inat61450946|ITS|OP028479.1
Boletaceae_020	inat165794488|ITS|OR290852.1
Boletaceae_021	inat125829280|ITS|OR290826.1
Boletaceae_022	mo462436|ITS|ON134033.1
Boletaceae_023	flas_f_69300_boletaceae|ITS|OQ725184.1
Boletaceae_024	mad73b_ra1_b09|ITS|OM220017.1
Boletaceae_025	mad52_ra1_e08|ITS|OM219999.1
Boletaceae_026	km206735|ITS|OM219862.1
Boletaceae_027	km206713|ITS|OM219848.1
Boletaceae_028	km206711|ITS|OM219847.1
Boletaceae_029	km206701|ITS|OM219840.1
Boletaceae_030	km206700|ITS|OM219839.1
Boletaceae_031	km206696|ITS|OM219837.1
Boletaceae_032	km206675|ITS|OM219825.1
Boletaceae_033	km206666|ITS|OM219818.1
Boletaceae_034	madm01b_c10|ITS|OM219812.1
Boletaceae_035	oms_049|ITS|LC667077.1
Boletaceae_036	oms_048|ITS|LC667076.1
Boletaceae_037	oms_047|ITS|LC667075.1
Boletaceae_038	oms_046|ITS|LC667074.1
Boletaceae_039	oms_045|ITS|LC667073.1
Boletaceae_040	inat90344136|ITS|OP681767.1
Boletaceae_041	inat86774400|ITS|OP681713.1
Boletaceae_042	inat94426405|ITS|OP480720.1
Boletaceae_043	inat97785858|ITS|OP480710.1
Boletaceae_044	oly_0193|ITS|OP345847.1
Boletaceae_045	hkas122499|ITS|ON794329.1
Boletaceae_046	pdd:107666|ITS|OP141487.1
Boletaceae_047	pdd:107665|ITS|OP141486.1
Boletaceae_048	pdd:107659|ITS|OP141485.1
Boletaceae_049	pdd:112849|ITS|OP141422.1
Boletaceae_050	pdd:106502|ITS|OP141414.1
Boletaceae_051	mhm164|ITS|EU569242.1
Boletaceae_052	mhm161|ITS|EU569240.1
Boletaceae_053	mhm160|ITS|EU569239.1
Boletaceae_054	mhm081|ITS|EU569237.1
Boletaceae_055	mushroom_observer_380660|ITS|ON705290.1
Boletaceae_056	ba31|ITS|LC483919.1
Boletaceae_057	mushroom_observer_410289|ITS|ON554799.1
Boletaceae_058	vsc_f_0000237|ITS|ON080994.1
Boletaceae_059	334|ITS|OM972605.1
Boletaceae_060	duke:0352590|ITS|OL342390.1
Boletaceae_061	inat:32543311|ITS|OM906890.1
Boletaceae_062	f30|ITS|OM505095.1
Boletaceae_063	rpr_553|ITS|MW374260.1
Boletaceae_064	tyy_72|ITS|OK584445.1
Boletaceae_065	ab16|ITS|MW675745.1
Boletaceae_066	lag_0101|ITS|MW829792.1
Boletaceae_067	130822mfbpl0305|ITS|MW554484.1
Boletaceae_068	130732mfbpc577|ITS|MW554174.1
Boletaceae_069	cnv21|ITS|MT345198.1
Boletaceae_070	po_241|ITS|MN178804.1
Boletaceae_071	ak_3508|ITS|MN178803.1
Boletaceae_072	mushroom_observer_243571|ITS|MN107032.1
Boletaceae_073	mushroom_observer_329052|ITS|MN106243.1
Boletaceae_074	jlf5616|ITS|MK719978.1
Boletaceae_075	j4135_4rc|ITS|MK621187.1
Boletaceae_076	s.d._russell_mycomap_6640|ITS|MK560094.1
Boletaceae_077	ab14|ITS|MH796990.1
Boletaceae_078	ab11|ITS|MH796985.1
Boletaceae_079	jab02|ITS|MG912842.1
Boletaceae_080	arb1297|ITS|MG912840.1
Boletaceae_081	jlf5415|ITS|MH622754.1
Boletaceae_082	arb1312|ITS|MH608363.1
Boletaceae_083	arb1294|ITS|MH607615.1
Boletaceae_084	cmmy14d2|ITS|KY774012.1
Boletaceae_085	mushroom_observer_250391|ITS|MH255825.1
Boletaceae_086	mushroom_observer_248795|ITS|MH255823.1
Boletaceae_087	mushroom_observer_215899|ITS|MH244201.1
Boletaceae_088	mushroom_observer_242666|ITS|MH236105.1
Boletaceae_089	mushroom_observer_249345|ITS|MH234467.1
Boletaceae_090	hkas_68178|ITS|KP136987.1
Boletaceae_091	hkas_53378|ITS|KP136986.1
Boletaceae_092	ac817|ITS|KY548909.1
Boletaceae_093	ac777|ITS|KY548905.1
Boletaceae_094	fam145w03|ITS|MG018097.1
Boletaceae_095	fam145n05|ITS|MG018093.1
Boletaceae_096	arb1265|ITS|KX610681.1
Boletaceae_097	osc_66143|ITS|EU837225.1
Boletaceae_098	355|ITS|KY693727.1
Boletaceae_099	th9616|ITS|KT339276.1
Boletaceae_100	th9701|ITS|KT339275.1
Boletaceae_101	jlf1816|ITS|KX394446.1
Boletaceae_102	g1_8_2|ITS|AB972824.1
Boletaceae_103	g1_2_7|ITS|AB972823.1
Boletaceae_104	agg_rflp_8|ITS|KT336214.1
Boletaceae_105	ab19|ITS|KR819023.1
Boletaceae_106	ab16|ITS|KR819020.1
Boletaceae_107	ab14|ITS|KR819018.1
Boletaceae_108	ab11|ITS|KR819015.1
Boletaceae_109	th10060|ITS|KT380011.1
Boletaceae_110	mel:2382936|ITS|KP012800.1
Boletaceae_111	mel:2382894|ITS|KP012765.1
Boletaceae_112	mel:2382893|ITS|KP012764.1
Boletaceae_113	emf15|ITS|JF273518.1
Boletaceae_114	emf13|ITS|JF273516.1
Boletaceae_115	emf9|ITS|JF273512.1
Boletaceae_116	hkas74705|ITS|JQ928609.1
Boletaceae_117	hkas74706|ITS|JQ928608.1
Boletaceae_118	736|ITS|HE814231.1
Boletaceae_119	644|ITS|HE814225.1
Boletaceae_120	442|ITS|HE814216.1
Boletaceae_121	425|ITS|HE814215.1
Boletaceae_122	355|ITS|HE814188.1
Boletaceae_123	334|ITS|HE814185.1
Boletaceae_124	33|ITS|HE814184.1
Boletaceae_125	31|ITS|HE814181.1
Boletaceae_126	2980|ITS|HE814178.1
Boletaceae_127	2760|ITS|HE814173.1
Boletaceae_128	261|ITS|HE814162.1
Boletaceae_129	2540|ITS|HE814157.1
Boletaceae_130	2026|ITS|HE814137.1
Boletaceae_131	1411|ITS|HE814094.1
Boletaceae_132	1212|ITS|HE814081.1
Boletaceae_133	1169|ITS|HE814077.1
Boletaceae_134	tu112123|ITS|JQ657780.1
Boletaceae_135	tu112064|ITS|JQ657776.1
Boletaceae_136	tu112042|ITS|JQ657771.1
Boletaceae_137	tu112014|ITS|JQ657769.1
Boletaceae_138	tu108299|ITS|JQ657762.1
Boletaceae_139	l1z_1|ITS|JX030249.1
Boletaceae_140	hkas71346|ITS|JQ172779.1
Boletaceae_141	HE817964.1|ITS|HE817964.1
Boletaceae_142	HE817952.1|ITS|HE817952.1
Boletaceae_143	HE817951.1|ITS|HE817951.1
Boletaceae_144	HE817948.1|ITS|HE817948.1
