Boletus_0001	omdl_mo_523157|ITS|PX094130.1
Boletus_0002	tra89|ITS|PV997265.1
Boletus_0003	hkas113848|ITS|MZ781939.1
Boletus_0004	hkas113829|ITS|MZ781921.1
Boletus_0005	hkas113794|ITS|MZ781886.1
Boletus_0006	hkas113733|ITS|MZ781829.1
Boletus_0007	hkas113732|ITS|MZ781828.1
Boletus_0008	hkas113554|ITS|MZ781659.1
Boletus_0009	hkas113463|ITS|MZ781572.1
Boletus_0010	s._d._russell_inat_240023768|ITS|PV920877.1
Boletus_0011	omdl_inat_190004344|ITS|PV911431.1
Boletus_0012	flas_f_61876|ITS|MH212126.1
Boletus_0013	flas_f_61863|ITS|MH212118.1
Boletus_0014	flas_f_61692|ITS|MH212051.1
Boletus_0015	flas_f_61590|ITS|MH211982.1
Boletus_0016	flas_f_61496|ITS|MH211928.1
Boletus_0017	flas_f_61478|ITS|MH211916.1
Boletus_0018	flas_f_61203|ITS|MH211808.1
Boletus_0019	flas_f_60536|ITS|MH211668.1
Boletus_0020	flas_f_61009|ITS|MH016944.1
Boletus_0021	flas_f_60938|ITS|MH016899.1
Boletus_0022	flas_f_60917|ITS|MH016889.1
Boletus_0023	flas_f_60911|ITS|MH016885.1
Boletus_0024	sr_23_008|ITS|OR881489.1
Boletus_0025	sr_23_006|ITS|OR881488.1
Boletus_0026	unca00297|ITS|PV778249.1
Boletus_0027	unca00292|ITS|PV778246.1
Boletus_0028	omdl_mo_465150|ITS|PV754434.1
Boletus_0029	omdl_mo_465145|ITS|PV754433.1
Boletus_0030	hay_f_011542|ITS|PV742663.1
Boletus_0031	uwal_m_0001520|ITS|PV741237.1
Boletus_0032	hkas_134101|ITS|PV715602.1
Boletus_0033	hkas_134086|ITS|PV715598.1
Boletus_0034	hkas_133781|ITS|PV706655.1
Boletus_0035	s._d._russell_inat_231103164|ITS|PV704733.1
Boletus_0036	inat180306177_lanmaoa_recapitulata|ITS|PV695611.1
Boletus_0037	tenn_f_072185|ITS|PV694390.1
Boletus_0038	ut_m0002406|ITS|PV694383.1
Boletus_0039	ut_m0002416|ITS|PV694382.1
Boletus_0040	ut_m0002269|ITS|PV694381.1
Boletus_0041	ut_m0002265|ITS|PV694361.1
Boletus_0042	ut_m0002299|ITS|PV694360.1
Boletus_0043	buf4510|ITS|PV694359.1
Boletus_0044	ut_m0002424|ITS|PV694356.1
Boletus_0045	ny65188|ITS|PV694354.1
Boletus_0046	tenn_f_071838|ITS|PV694349.1
Boletus_0047	min966563|ITS|PV694348.1
Boletus_0048	ut_m0002509|ITS|PV694347.1
Boletus_0049	usf304788|ITS|PV694346.1
Boletus_0050	min876692|ITS|PV694345.1
Boletus_0051	usf304817|ITS|PV694344.1
Boletus_0052	ut_m0002455|ITS|PV694343.1
Boletus_0053	ut_m0002503|ITS|PV694342.1
Boletus_0054	buf3026|ITS|PV694341.1
Boletus_0055	unca00305|ITS|PV683399.1
Boletus_0056	mo561949|ITS|PV634116.1
Boletus_0057	mo561950|ITS|PV634113.1
Boletus_0058	mo561951|ITS|PV634099.1
Boletus_0059	mo563251|ITS|PV634157.1
Boletus_0060	mo563229|ITS|PV634148.1
Boletus_0061	mo563045|ITS|PV634134.1
Boletus_0062	mo565685|ITS|PV634119.1
Boletus_0063	mo561942|ITS|PV634106.1
Boletus_0064	hkas115173|ITS|MZ427189.1
Boletus_0065	omdl_/_vsvc_inat_196638030|ITS|PV607159.1
Boletus_0066	hay_f_011353|ITS|PV587921.1
Boletus_0067	montoya_5278|ITS|MZ224516.1
Boletus_0068	cesar_156|ITS|MZ224515.1
Boletus_0069	cesar_134_holotype|ITS|MZ224514.1
Boletus_0070	cesar_133|ITS|MZ224513.1
Boletus_0071	cesar_128|ITS|MZ224512.1
Boletus_0072	hkas114477|ITS|MZ425995.1
Boletus_0073	hkas114475|ITS|MZ425993.1
Boletus_0074	omdl_inat_182722615|ITS|PP516740.1
Boletus_0075	omdl_inat_176204928|ITS|OR824645.1
Boletus_0076	hkas114257|ITS|MZ426753.1
Boletus_0077	hkas114180|ITS|MZ426681.1
Boletus_0078	omdl_/_vsvc|ITS|PV501066.1
Boletus_0079	omdl_/_vsvc|ITS|PV501059.1
Boletus_0080	omdl_/_vsvc|ITS|PV501055.1
Boletus_0081	omdl_/_vsvc|ITS|PV501050.1
Boletus_0082	omdl_/_vsvc|ITS|PV501044.1
Boletus_0083	omdl_/_vsvc|ITS|PV501032.1
Boletus_0084	omdl_/_vsvc|ITS|PV501027.1
Boletus_0085	omdl_/_vsvc|ITS|PV501016.1
Boletus_0086	omdl_/_vsvc|ITS|PV501012.1
