Bothia_01	omdl_inat_178260866|ITS|PP923825.1
Bothia_02	s.d._russell_ont_inaturalist_130697287|ITS|OP643402.1
Bothia_03	s.d._russell_ont_inaturalist_129773095|ITS|OP643231.1
Bothia_04	s.d._russell_ont_inaturalist_129616805|ITS|OP470543.1
Bothia_05	hkas:82693|ITS|NR_153608.1
Bothia_06	hkas82693|ITS|KM269196.1
Bothia_07	hkas82694|ITS|KM269195.1
Bothia_08	mb03_067|ITS|DQ867114.1
Bothia_09	28002|ITS|DQ867113.1
Bothia_10	8669|ITS|DQ867112.1
Bothia_11	28003|ITS|DQ867111.1
Bothia_12	mb03_053|ITS|DQ867110.1
