Buchwaldoboletus_01	omdl_inat_186407215|ITS|PP573967.1
Buchwaldoboletus_02	jsj_bx1|ITS|PV335977.1
Buchwaldoboletus_03	f_2810|ITS|PQ652868.1
Buchwaldoboletus_04	flas_f_60314|ITS|MF153000.1
Buchwaldoboletus_05	bxjc229|ITS|PQ662399.1
Buchwaldoboletus_06	jrj23|ITS|PQ498146.1
Buchwaldoboletus_07	amh_10768|ITS|PQ482810.1
Buchwaldoboletus_08	s8|ITS|PP533018.1
Buchwaldoboletus_09	cbs:661.78|ITS|MH861174.1
Buchwaldoboletus_10	nfsg_20230914_01jk|ITS|OR978491.1
Buchwaldoboletus_11	sl2087|ITS|OR354968.1
Buchwaldoboletus_12	0438|ITS|OR449999.1
Buchwaldoboletus_13	mo500044|ITS|OR203610.1
Buchwaldoboletus_14	sn110|ITS|ON707263.1
Buchwaldoboletus_15	bo24624|ITS|OP785150.1
Buchwaldoboletus_16	flas_f_68320|ITS|MZ855281.1
Buchwaldoboletus_17	flas_f_58917|ITS|MZ855279.1
Buchwaldoboletus_18	pdd:102262|ITS|OP141476.1
Buchwaldoboletus_19	pdd:71249|ITS|OP141455.1
Buchwaldoboletus_20	pdd:113068|ITS|OP141430.1
Buchwaldoboletus_21	mushroom_observer_426235|ITS|ON950125.1
Buchwaldoboletus_22	mushroom_observer_399490|ITS|ON950119.1
Buchwaldoboletus_23	bd771|ITS|MZ351642.1
Buchwaldoboletus_24	mes_590_flas_f_58917|ITS|ON383422.1
Buchwaldoboletus_25	373|ITS|OM972644.1
Buchwaldoboletus_26	fhmu5933_1|ITS|MW783446.1
Buchwaldoboletus_27	fhmu5933|ITS|MW783445.1
Buchwaldoboletus_28	fhmu5932_1|ITS|MW783444.1
Buchwaldoboletus_29	fhmu5932|ITS|MW783443.1
Buchwaldoboletus_30	fhmu5931_1|ITS|MW783442.1
Buchwaldoboletus_31	fhmu5931|ITS|MW783441.1
Buchwaldoboletus_32	fhmu5930_1|ITS|MW783440.1
Buchwaldoboletus_33	fhmu5930|ITS|MW783439.1
Buchwaldoboletus_34	0438|ITS|MW815663.1
Buchwaldoboletus_35	jlf_x22|ITS|KU144820.1
Buchwaldoboletus_36	MH234512.1|ITS|MH234512.1
Buchwaldoboletus_37	ka14_0907|ITS|MH170897.1
Buchwaldoboletus_38	ka14_0711|ITS|MH170896.1
Buchwaldoboletus_39	3533|ITS|KM248950.1
Buchwaldoboletus_40	HM003619.1|ITS|HM003619.1
Buchwaldoboletus_41	HM003618.1|ITS|HM003618.1
Buchwaldoboletus_42	HM003617.1|ITS|HM003617.1
Buchwaldoboletus_43	km157323|ITS|GQ981493.1
