Butyriboletus_001	hkas113801|ITS|MZ781893.1
Butyriboletus_002	mes_1021|ITS|KY462402.1
Butyriboletus_003	s._d._russell_inat_232410852|ITS|PV704757.1
Butyriboletus_004	s._d._russell_inat_231724742|ITS|PV704750.1
Butyriboletus_005	s._d._russell_inat_231101908|ITS|PV704731.1
Butyriboletus_006	hkas109504|ITS|MZ508904.1
Butyriboletus_007	hay_f_011397|ITS|PV587924.1
Butyriboletus_008	app20240721|ITS|PV565317.1
Butyriboletus_009	hkas114909|ITS|MZ426393.1
Butyriboletus_010	fds_ca_08135|ITS|PV455451.1
Butyriboletus_011	jlf9924_inaturalist_105852879|ITS|PV434784.1
Butyriboletus_012	arora21814|ITS|PV434783.1
Butyriboletus_013	arora21806|ITS|PV434782.1
Butyriboletus_014	jlf9914_az_inaturalist_105852857|ITS|PV426279.1
Butyriboletus_015	omdl_inat_184032611|ITS|PP850767.1
Butyriboletus_016	bb_74|ITS|PV388785.1
Butyriboletus_017	fds_ca_06858|ITS|PV364396.1
Butyriboletus_018	jlf10692_inaturalist_138348936|ITS|PV271814.1
Butyriboletus_019	b1n36c|ITS|PV135128.1
Butyriboletus_020	butyriboletus_parachinarensis_swat00337_2|ITS|PQ877282.1
Butyriboletus_021	butyriboletus_parachinarensis_mj1648|ITS|PQ877281.1
Butyriboletus_022	butyriboletus_parachinarensis_mj1650|ITS|PQ877280.1
Butyriboletus_023	omdl_inat_178444442|ITS|PQ822217.1
Butyriboletus_024	f_1204|ITS|PQ652252.1
Butyriboletus_025	fds_ca_05398|ITS|PQ453671.1
Butyriboletus_026	hay_f_007920|ITS|PP975370.1
Butyriboletus_027	prm:923483|ITS|NR_151842.1
Butyriboletus_028	bjtc:fm1816|ITS|NR_191151.1
Butyriboletus_029	md_butyriboletus_roseogriseus_1|ITS|PP695545.1
Butyriboletus_030	hay_f_006984|ITS|PP576193.1
Butyriboletus_031	bjtc_fm2769|ITS|OR655144.1
Butyriboletus_032	bjtc_fm1816|ITS|OR655143.1
Butyriboletus_033	bjtc_fm688|ITS|OR655142.1
Butyriboletus_034	bjtc_fm688|ITS|OK490345.1
Butyriboletus_035	bjtc_fm1816|ITS|OK490292.1
Butyriboletus_036	bjtc_fm1103|ITS|OK486136.1
Butyriboletus_037	yaas2021_1br|ITS|OR075197.1
Butyriboletus_038	bjtc:fm755|ITS|NR_185652.1
Butyriboletus_039	bjtc_fm755|ITS|OK490346.1
Butyriboletus_040	bjtc_fm1240|ITS|OK486135.1
Butyriboletus_041	OQ147216.1|ITS|OQ147216.1
Butyriboletus_042	s.d._russell_ont_inaturalist_129608762|ITS|OP749096.1
Butyriboletus_043	s.d._russell_ont_inaturalist_136732328|ITS|OP749077.1
Butyriboletus_044	s.d._russell_ont_inaturalist_129770106|ITS|OP549190.1
Butyriboletus_045	s.d._russell_ont_inaturalist_129931167|ITS|OP470620.1
Butyriboletus_046	s.d._russell_ont_inaturalist_129927260|ITS|OP470611.1
Butyriboletus_047	s.d._russell_ont_inaturalist_128069160|ITS|OP470475.1
Butyriboletus_048	s.d._russell_ont_inaturalist_122689056|ITS|OP470391.1
Butyriboletus_049	mushroom_observer_488167|ITS|OP327377.1
Butyriboletus_050	hmjau:60200|ITS|NR_177640.1
Butyriboletus_051	hkas122409|ITS|ON794277.1
Butyriboletus_052	hkas122388|ITS|ON794267.1
Butyriboletus_053	hmjau60623|ITS|OL891497.1
Butyriboletus_054	hmjau60622|ITS|OL891490.1
Butyriboletus_055	mushroom_observer_428244|ITS|ON950124.1
Butyriboletus_056	mushroom_observer_428244|ITS|ON950123.1
Butyriboletus_057	mushroom_observer_423133|ITS|ON950117.1
Butyriboletus_058	mushroom_observer_325394|ITS|ON705288.1
Butyriboletus_059	mushroom_observer_283390|ITS|ON705273.1
Butyriboletus_060	t198|ITS|OM237337.1
Butyriboletus_061	t95|ITS|OM237336.1
Butyriboletus_062	hmjau59471|ITS|OL604165.1
Butyriboletus_063	hmjau59470|ITS|OL604164.1
Butyriboletus_064	OK376749.1|ITS|OK376749.1
Butyriboletus_065	pul:pul00031442|ITS|OM747814.1
Butyriboletus_066	pul:pul00031452|ITS|OM747813.1
Butyriboletus_067	k_m000257266|ITS|OL960513.1
Butyriboletus_068	s.d._russell_inaturalist_57079347|ITS|OM473915.1
Butyriboletus_069	fbozok00328|ITS|MK272954.1
Butyriboletus_070	fbozok00259|ITS|MK272952.1
Butyriboletus_071	fbozok00159|ITS|MK272948.1
Butyriboletus_072	fbozok00109|ITS|MK272853.1
Butyriboletus_073	rpr_403|ITS|MW374183.1
Butyriboletus_074	pc_43|ITS|MT825245.1
Butyriboletus_075	ubc:f27976|ITS|MZ817020.1
Butyriboletus_076	ubc:f24557|ITS|MZ817019.1
Butyriboletus_077	ubc:f26951|ITS|MZ817018.1
Butyriboletus_078	tenn:071460|ITS|MG663266.1
Butyriboletus_079	izs19097028/14|ITS|MZ005502.1
Butyriboletus_080	km:168802|ITS|MZ159426.1
Butyriboletus_081	ymf5.0026|ITS|MW874500.1
Butyriboletus_082	ymf5.0025|ITS|MW874499.1
Butyriboletus_083	ymf5.0024|ITS|MW874498.1
Butyriboletus_084	shasta2019|ITS|MW883898.1
Butyriboletus_085	jlf7669|ITS|MW453095.1
Butyriboletus_086	17387|ITS|JF907788.1
Butyriboletus_087	17210|ITS|JF907786.1
Butyriboletus_088	jlf2275|ITS|KM213653.1
Butyriboletus_089	17|ITS|MW192467.1
Butyriboletus_090	prm_952712|ITS|MT539709.1
Butyriboletus_091	arora17844|ITS|MN306147.1
Butyriboletus_092	arora16536|ITS|MN306146.1
Butyriboletus_093	jlf6850|ITS|MN263010.1
Butyriboletus_094	jlf5376|ITS|MN263009.1
Butyriboletus_095	fhmu:2207|ITS|NR_163761.1
Butyriboletus_096	mhhnu_31176|ITS|MK253780.1
Butyriboletus_097	n.k.zeng3246|ITS|MH885351.1
Butyriboletus_098	n.k.zeng3245|ITS|MH885350.1
Butyriboletus_099	n.k.zeng2127|ITS|MH885349.1
Butyriboletus_100	n.k.zeng2123|ITS|MH885348.1
Butyriboletus_101	prm:923469|ITS|KJ419930.1
Butyriboletus_102	prm:923468|ITS|KJ419929.1
Butyriboletus_103	hr:86133|ITS|KJ419926.1
Butyriboletus_104	prm:923475|ITS|KJ419925.1
Butyriboletus_105	prm:923474|ITS|KJ419924.1
Butyriboletus_106	prm:923473|ITS|KJ419923.1
Butyriboletus_107	prm:923472|ITS|KJ419922.1
Butyriboletus_108	prm:923477|ITS|KJ419921.1
Butyriboletus_109	prm:923465|ITS|KJ419920.1
Butyriboletus_110	prm:946297_topotype|ITS|LS992174.1
Butyriboletus_111	somf25384|ITS|MH011865.1
Butyriboletus_112	somf29854|ITS|MH011864.1
Butyriboletus_113	somf29855|ITS|MH011863.1
Butyriboletus_114	somf29853|ITS|MH011862.1
Butyriboletus_115	ml61992bf|ITS|MH011861.1
Butyriboletus_116	ml61972bf|ITS|MH011860.1
Butyriboletus_117	ml619523f5|ITS|MH011859.1
Butyriboletus_118	ml90113ba|ITS|MH011857.1
Butyriboletus_119	ml210192bf|ITS|MH011856.1
Butyriboletus_120	ml9096bf|ITS|MH011855.1
Butyriboletus_121	fr2011148|ITS|MH011854.1
Butyriboletus_122	acad11365f|ITS|MH465077.1
Butyriboletus_123	mushroom_observer_263101|ITS|MH257559.1
Butyriboletus_124	mushroom_observer_252208|ITS|MH236100.1
Butyriboletus_125	mushroom_observer_250839|ITS|MH234472.1
Butyriboletus_126	mushroom_observer_246448|ITS|MH230175.1
Butyriboletus_127	sfsu:arora11112|ITS|NR_154876.1
Butyriboletus_128	sfsu:arora9727|ITS|NR_137796.1
Butyriboletus_129	sfsu:arora99211|ITS|NR_137795.1
Butyriboletus_130	sfsu:arora11103|ITS|NR_137794.1
Butyriboletus_131	sfsu:j.l._frank_2030|ITS|NR_137600.1
Butyriboletus_132	hkas59814|ITS|KU317762.1
Butyriboletus_133	hkas57774|ITS|KU317761.1
Butyriboletus_134	hkas52525|ITS|KU317760.1
Butyriboletus_135	zhangping956_hkas|ITS|KU317759.1
Butyriboletus_136	hkas_57503|ITS|KT002608.1
Butyriboletus_137	mb000260|ITS|KT002607.1
Butyriboletus_138	mb_000287|ITS|KT002605.1
Butyriboletus_139	r._chapman_0945|ITS|KT002604.1
Butyriboletus_140	br50201533559_51|ITS|KT002603.1
Butyriboletus_141	br50201618465_02|ITS|KT002602.1
Butyriboletus_142	ny_00013631|ITS|KT002600.1
Butyriboletus_143	mb_000286|ITS|KT002599.1
Butyriboletus_144	br_50200893390_25|ITS|KT002598.1
Butyriboletus_145	fr2011124|ITS|KR782303.1
Butyriboletus_146	uf1409|ITS|HM347661.2
Butyriboletus_147	jam0189|ITS|HM347653.1
Butyriboletus_148	jam0360|ITS|HM347652.1
Butyriboletus_149	jam0336|ITS|HM347642.1
Butyriboletus_150	jam0497|ITS|HM347641.1
Butyriboletus_151	hkas57668|ITS|KJ909522.1
Butyriboletus_152	hkas68010|ITS|KJ909521.1
Butyriboletus_153	hkas56163|ITS|KJ909520.1
Butyriboletus_154	hkas_82796|ITS|KM388730.1
Butyriboletus_155	hkas_59467|ITS|KM388729.1
Butyriboletus_156	hkas_63513|ITS|KM388728.1
Butyriboletus_157	hkas_82375|ITS|KM388727.1
Butyriboletus_158	hkas_52661|ITS|KM388726.1
