Caloboletus_001	mo563238|ITS|PV634125.1
Caloboletus_002	hay_f_011838|ITS|PV637690.1
Caloboletus_003	hay_f_011525|ITS|PV587936.1
Caloboletus_004	hkas114389|ITS|MZ426870.1
Caloboletus_005	mo508873|ITS|OR614794.1
Caloboletus_006	mo502866|ITS|OR336154.1
Caloboletus_007	bb_102_bb_103|ITS|PV388806.1
Caloboletus_008	mnhn_pc_pc0715130|ITS|PV121748.1
Caloboletus_009	ns1911|ITS|PV052639.1
Caloboletus_010	arora21757|ITS|PV035852.1
Caloboletus_011	jlf7969_az_inaturalist_116856711|ITS|PV035851.1
Caloboletus_012	arora21813|ITS|PV035712.1
Caloboletus_013	arora21809|ITS|PV035706.1
Caloboletus_014	jlf10161_inaturalist_106044994|ITS|PV035261.1
Caloboletus_015	jlf10049_inaturalist_105987872|ITS|PV035187.1
Caloboletus_016	jlf9770_inaturalist_105817043|ITS|PV035144.1
Caloboletus_017	jlf11042_inaturalist_145602111|ITS|PV034040.1
Caloboletus_018	jlf10897_inaturalist_136460366|ITS|PV034035.1
Caloboletus_019	gj37|ITS|PQ870259.1
Caloboletus_020	swat003361|ITS|PQ867174.1
Caloboletus_021	omdl_inat_176998583|ITS|PQ822107.1
Caloboletus_022	PQ773203.1|ITS|PQ773203.1
Caloboletus_023	kash_9095|ITS|PQ555149.1
Caloboletus_024	kash_9095|ITS|PQ540704.1
Caloboletus_025	fds_ca_00282|ITS|PQ527974.1
Caloboletus_026	mzu_9|ITS|PQ288749.1
Caloboletus_027	hay_f_006493|ITS|PQ288494.1
Caloboletus_028	hay_f_003641|ITS|PQ163472.1
Caloboletus_029	hay_f_005134|ITS|PQ163468.1
Caloboletus_030	hay_f_006462|ITS|PQ160979.1
Caloboletus_031	dc_21_21|ITS|PP422963.1
Caloboletus_032	sr_23_023|ITS|PP422805.1
Caloboletus_033	hay_f_007276|ITS|PP998765.1
Caloboletus_034	bjtc:fm2438|ITS|NR_191305.1
Caloboletus_035	oly_al0448|ITS|PP764307.1
Caloboletus_036	jlf12365_csnm_inaturalist_194249577|ITS|PP325812.1
Caloboletus_037	bjtc_fm2438|ITS|OR655147.1
Caloboletus_038	bjtc_fm2221|ITS|OR655146.1
Caloboletus_039	bjtc_fm699|ITS|OR655145.1
Caloboletus_040	m100|ITS|OR766081.1
Caloboletus_041	le_f_342530|ITS|OR225905.1
Caloboletus_042	f722|ITS|OR625703.1
Caloboletus_043	OQ147202.1|ITS|OQ147202.1
Caloboletus_044	pul:pul00031107|ITS|ON209251.1
Caloboletus_045	inat62091631|ITS|OP651177.1
Caloboletus_046	s.d._russell_ont_inaturalist_129554285|ITS|OP642877.1
Caloboletus_047	s.d._russell_ont_inaturalist_129618568|ITS|OP549214.1
Caloboletus_048	s.d._russell_inaturalist_15127251|ITS|OP541817.1
Caloboletus_049	jlf10029|ITS|OP412383.1
Caloboletus_050	jlf9793|ITS|OP268453.1
Caloboletus_051	hkas122730|ITS|ON794457.1
Caloboletus_052	hkas56164|ITS|KJ605667.1
Caloboletus_053	hkas74864|ITS|KJ605665.1
Caloboletus_054	hkas58694|ITS|KJ605664.1
Caloboletus_055	hkas69214|ITS|KJ605663.1
Caloboletus_056	hkas80856|ITS|KJ605662.1
Caloboletus_057	hkas77530|ITS|KJ605661.1
Caloboletus_058	hkas77506|ITS|KJ605660.1
Caloboletus_059	hkas57410|ITS|KJ605659.1
Caloboletus_060	hkas55444|ITS|KJ605658.1
Caloboletus_061	ny00796115|ITS|KJ605656.1
Caloboletus_062	br5020159063805|ITS|KJ605655.1
Caloboletus_063	jlf2243a|ITS|KC812300.1
Caloboletus_064	jlf2241|ITS|KC812299.1
Caloboletus_065	jlf2134|ITS|KC812297.1
Caloboletus_066	jlf2078|ITS|KC812296.1
Caloboletus_067	jlf2076|ITS|KC812295.1
Caloboletus_068	jlf2070|ITS|KC812294.1
Caloboletus_069	jlf2068|ITS|KC812293.1
Caloboletus_070	jlf2174|ITS|KC812290.1
Caloboletus_071	jlf1051|ITS|KC812289.1
Caloboletus_072	arora11119|ITS|KC812287.1
Caloboletus_073	arora11118|ITS|KC812286.1
Caloboletus_074	arora11117|ITS|KC812285.1
Caloboletus_075	jlf2570|ITS|KC812283.1
Caloboletus_076	arora11120|ITS|KC812282.1
Caloboletus_077	arora11116|ITS|KC812281.1
Caloboletus_078	mushroom_observer_379757|ITS|ON705294.1
Caloboletus_079	mushroom_observer_377364|ITS|ON705293.1
Caloboletus_080	mushroom_observer_287818|ITS|ON705291.1
Caloboletus_081	mes_3680|ITS|ON383376.1
Caloboletus_082	mushroom_observer_479737|ITS|ON359842.1
Caloboletus_083	inat:15789036|ITS|OM480704.1
Caloboletus_084	pul:pul000310032|ITS|OM747568.1
Caloboletus_085	pul:pul00031003|ITS|OM747567.1
Caloboletus_086	fbozok00093|ITS|MK272793.1
Caloboletus_087	sbcx2021_8_2|ITS|OM060663.1
Caloboletus_088	hkas55444|ITS|MW520193.1
Caloboletus_089	rpr_530|ITS|MW374246.1
Caloboletus_090	ubc:f28013|ITS|MZ817038.1
Caloboletus_091	ubc:f27978|ITS|MZ817029.1
Caloboletus_092	ymf5.0027|ITS|MW874501.1
Caloboletus_093	ny:03817561|ITS|MW899060.1
Caloboletus_094	hbau15357|ITS|MW862340.1
Caloboletus_095	a1539|ITS|MW493385.1
Caloboletus_096	jlf7907|ITS|MW424504.1
Caloboletus_097	jlf7842|ITS|MW424503.1
Caloboletus_098	jlf7826|ITS|MW424502.1
Caloboletus_099	jlf7689|ITS|MW424501.1
Caloboletus_100	jlf7587|ITS|MW424500.1
Caloboletus_101	jlf7497|ITS|MW424499.1
Caloboletus_102	jlf7489|ITS|MW424498.1
Caloboletus_103	sfsu:arora11118|ITS|NR_166368.1
Caloboletus_104	ubc:f33452|ITS|MN954722.1
Caloboletus_105	s.d._russell_mycomap_519|ITS|MN906213.1
Caloboletus_106	p0318366|ITS|MN623283.1
Caloboletus_107	mushroom_observer_252768|ITS|MN128241.1
Caloboletus_108	mushroom_observer_294541|ITS|MN107152.1
Caloboletus_109	jlf6883|ITS|MK928397.1
Caloboletus_110	jlf6882|ITS|MK928396.1
Caloboletus_111	jlf6569|ITS|MK928395.1
Caloboletus_112	n.k.zeng3079|ITS|MH885366.1
Caloboletus_113	n.k.zeng3058|ITS|MH885365.1
Caloboletus_114	n.k.zeng3263|ITS|MH885364.1
Caloboletus_115	n.k.zeng1354|ITS|MH885363.1
Caloboletus_116	n.k.zeng1331|ITS|MH885362.1
Caloboletus_117	mushroomobserver.org/286112|ITS|MK394006.1
Caloboletus_118	ml61951cr|ITS|MH011875.1
Caloboletus_119	ef61012b|ITS|MH011874.1
Caloboletus_120	flas_f_60021|ITS|KY654741.1
Caloboletus_121	flas_f_60029|ITS|KY654739.1
Caloboletus_122	flas_f_60006|ITS|KY654719.1
Caloboletus_123	ubc_f_16603|ITS|MF955113.1
Caloboletus_124	jlf5493|ITS|MH656587.1
Caloboletus_125	jlf5447|ITS|MH656482.1
Caloboletus_126	jlf5441|ITS|MH656408.1
Caloboletus_127	gdgm:44725|ITS|NR_153932.1
Caloboletus_128	gdgm45160|ITS|KY800423.1
Caloboletus_129	gdgm44725|ITS|KY800422.1
Caloboletus_130	gdgm44833|ITS|KY800421.1
Caloboletus_131	gdgm44081|ITS|KY800420.1
Caloboletus_132	hkas63560|ITS|KU317758.1
Caloboletus_133	hkas74864|ITS|KU317757.1
Caloboletus_134	hkas74739|ITS|KU317756.1
Caloboletus_135	wu428_hkas|ITS|KU317755.1
Caloboletus_136	km60247|ITS|KU317753.1
Caloboletus_137	rhp1247tenn|ITS|KU317752.1
Caloboletus_138	wu426_hkas|ITS|KU317754.1
Caloboletus_139	acg_144|ITS|KX398991.1
Caloboletus_140	jlf3416|ITS|KU160179.1
Caloboletus_141	oms_1000895|ITS|KT968606.1
Caloboletus_142	uf1401|ITS|HM347645.1
Caloboletus_143	arora13039|ITS|KM396278.1
