Chamonixia_01	osc_117036|ITS|EU834198.1
Chamonixia_02	osc_118291|ITS|EU834197.1
Chamonixia_03	had1315_inat242213937|ITS|PV591200.1
Chamonixia_04	bohlin_040903|ITS|OR822114.1
Chamonixia_05	jlf13485_inaturalist_248142680|ITS|PQ488635.1
Chamonixia_06	cwh_asv_0017|ITS|OQ410896.1
Chamonixia_07	kra_f_2014_110|ITS|KT001259.1
Chamonixia_08	kra_f_2013_60|ITS|KT001258.1
Chamonixia_09	kra_f_2014_113|ITS|KT001257.1
Chamonixia_10	kra_f_2013_38|ITS|KT001255.1
Chamonixia_11	kpm_nc_18071|ITS|KP222908.1
Chamonixia_12	kpm_nc_18070|ITS|KP222907.1
Chamonixia_13	km:200698|ITS|MZ159553.1
Chamonixia_14	personal:damon_tighe:18795143|ITS|MK307840.1
Chamonixia_15	ct4298_flas_herbarium|ITS|MH478119.1
Chamonixia_16	kra_f_2013_69|ITS|KT001256.1
Chamonixia_17	o_f245441|ITS|KP149496.1
Chamonixia_18	o_f245438|ITS|KP149495.1
Chamonixia_19	trappe_10517|ITS|EU669385.1
Chamonixia_20	osc_117571|ITS|EU669208.1
Chamonixia_21	extl69|ITS|HQ647124.1
Chamonixia_22	92/83|ITS|DQ534565.1
Chamonixia_23	trappe_12768|ITS|EU852804.1
Chamonixia_24	trappe_12656|ITS|EU846310.1
Chamonixia_25	osc_117034|ITS|EU846243.1
