Crocinoboletus_01	hkas122504|ITS|ON794334.1
Crocinoboletus_02	hkas122417|ITS|ON794282.1
Crocinoboletus_03	fhmu:3123|ITS|NR_175633.1
Crocinoboletus_04	hkas53424|ITS|MW520199.1
Crocinoboletus_05	rpr_486|ITS|MW374231.1
Crocinoboletus_06	rpr_413|ITS|MW374191.1
Crocinoboletus_07	fhmu:3124|ITS|MK850941.1
Crocinoboletus_08	fhmu:2030|ITS|MK850940.1
Crocinoboletus_09	fhmu:3123|ITS|MK850939.1
Crocinoboletus_10	fhnu1146|ITS|MK850938.1
Crocinoboletus_11	fhmu:1975|ITS|MK850937.1
Crocinoboletus_12	gdgm42811|ITS|MH374042.1
Crocinoboletus_13	gdgm43004|ITS|MH374041.1
Crocinoboletus_14	1c10|ITS|AB973814.1
Crocinoboletus_15	1c10|ITS|AB973813.1
