Fistulinella_01	sd_109|ITS|PV165830.1
Fistulinella_02	jpb66574|ITS|OM670210.1
Fistulinella_03	fistulinella_gloeocarpa_jab_211|ITS|MZ961361.1
Fistulinella_04	fistulinella_gloeocarpa_farid_864|ITS|MZ961360.1
Fistulinella_05	pdd:117281|ITS|OP141492.1
Fistulinella_06	pdd:101766|ITS|OP141469.1
Fistulinella_07	pdd:88813|ITS|OP141464.1
Fistulinella_08	pdd:72856|ITS|OP141457.1
Fistulinella_09	pdd:72549|ITS|OP141456.1
Fistulinella_10	pdd:113366|ITS|OP141446.1
Fistulinella_11	pdd:112887|ITS|OP141423.1
Fistulinella_12	pdd:106050|ITS|OP141400.1
Fistulinella_13	pdd:105656|ITS|OP141390.1
Fistulinella_14	pdd:83015|ITS|OP141383.1
Fistulinella_15	pdd:96942|ITS|OP141373.1
Fistulinella_16	pdd:80833|ITS|OP141344.1
Fistulinella_17	th9876|ITS|MZ351605.1
Fistulinella_18	th10581|ITS|MZ351604.1
Fistulinella_19	th10479|ITS|MZ351603.1
Fistulinella_20	th10418|ITS|MZ351602.1
Fistulinella_21	bd788|ITS|MZ351601.1
Fistulinella_22	bd848|ITS|MZ351600.1
Fistulinella_23	bd799|ITS|MZ351599.1
Fistulinella_24	bd804|ITS|MZ351598.1
Fistulinella_25	pl790619|ITS|MZ828044.1
Fistulinella_26	le315617|ITS|MW784160.1
Fistulinella_27	le315616|ITS|MW784159.1
Fistulinella_28	pdd83015|ITS|JQ924291.1
Fistulinella_29	jbsd130769_ange969_and_mg777|ITS|MT581527.1
Fistulinella_30	pdd:70513|ITS|KP191826.1
Fistulinella_31	lerus:312004|ITS|NR_163311.1
Fistulinella_32	le312004|ITS|MH718344.1
Fistulinella_33	flor:51611|ITS|NR_156320.1
Fistulinella_34	icn_192820|ITS|KY886210.1
Fistulinella_35	icn_192818|ITS|KY886209.1
Fistulinella_36	icn_192819|ITS|KY886208.1
Fistulinella_37	flor_51610|ITS|KY886207.1
Fistulinella_38	flor_51611|ITS|KY886206.1
Fistulinella_39	flor_51609|ITS|KY886205.1
Fistulinella_40	flor_51608|ITS|KY886204.1
Fistulinella_41	amv1513|ITS|KT724090.1
Fistulinella_42	th8471|ITS|KT339237.1
Fistulinella_43	1980_amv|ITS|KF937331.1
Fistulinella_44	mel:2382828|ITS|KP012703.1
Fistulinella_45	amv511|ITS|KF878352.1
Fistulinella_46	km162946|ITS|GQ981503.1
