Hemileccinum_001	omdl_inat_235611379|ITS|PX094302.1
Hemileccinum_002	flas_f_60909|ITS|MH016884.1
Hemileccinum_003	flas_f_60630|ITS|MH016813.1
Hemileccinum_004	flas_f_60615|ITS|MH016805.1
Hemileccinum_005	omdl_inat_222966129|ITS|PV534596.1
Hemileccinum_006	omdl_inat_179883801|ITS|PP850817.1
Hemileccinum_007	omdl_inat_176547407|ITS|PP156200.1
Hemileccinum_008	omdl_inat_177542240|ITS|PQ822114.1
Hemileccinum_009	flas_f_60324|ITS|MF153071.1
Hemileccinum_010	cfmr:bz_2413_bos_485|ITS|NR_185411.1
Hemileccinum_011	hkas134570|ITS|PP806325.1
Hemileccinum_012	hkas134490|ITS|PP806250.1
Hemileccinum_013	hkas134462|ITS|PP806226.1
Hemileccinum_014	fhmu:4902|ITS|NR_198330.1
Hemileccinum_015	jlf13324|ITS|PQ591773.1
Hemileccinum_016	fhmu:7724|ITS|PQ346074.1
Hemileccinum_017	fhmu:7723|ITS|PQ346073.1
Hemileccinum_018	fhmu:7728|ITS|PQ346072.1
Hemileccinum_019	fhmu:7721|ITS|PQ346071.1
Hemileccinum_020	fhmu:7720|ITS|PQ346070.1
Hemileccinum_021	omdl_inat_187829894|ITS|PQ316790.1
Hemileccinum_022	kd_23_035|ITS|PP261165.1
Hemileccinum_023	kd_23_039|ITS|PP261164.1
Hemileccinum_024	sv282|ITS|PP354892.1
Hemileccinum_025	n.k._zeng3388_fhmu2966|ITS|OP630845.1
Hemileccinum_026	n.k._zeng2978_fhmu1939|ITS|OP630844.1
Hemileccinum_027	n.k._zeng1342_fhmu894|ITS|OP630843.1
Hemileccinum_028	n.k._zeng3309_1_fhmu7597|ITS|OP630842.1
Hemileccinum_029	n.k._zeng2572_fhmu1679|ITS|OP630840.1
Hemileccinum_030	n.k._zeng4586_fhmu4902|ITS|OP630839.1
Hemileccinum_031	n.k._zeng3555_fhmu3069|ITS|OP630838.1
Hemileccinum_032	PP301792.1|ITS|PP301792.1
Hemileccinum_033	bjtc_fm696|ITS|OR655150.1
Hemileccinum_034	inat129568105|ITS|OQ132500.1
Hemileccinum_035	inat129548755|ITS|OQ132498.1
Hemileccinum_036	flas_f_69022|ITS|OP896781.1
Hemileccinum_037	s.d._russell_inaturalist_57476513|ITS|ON059242.1
Hemileccinum_038	s.d._russell_ont_inaturalist_132491286|ITS|OP643463.1
Hemileccinum_039	s.d._russell_ont_inaturalist_129904127|ITS|OP643295.1
Hemileccinum_040	s.d._russell_ont_inaturalist_129879806|ITS|OP643274.1
Hemileccinum_041	s.d._russell_inaturalist_15119207|ITS|OP541811.1
Hemileccinum_042	s.d._russell_nama2018_ms_inaturalist_13896205|ITS|OP541674.1
Hemileccinum_043	jlf10987|ITS|OP537917.1
Hemileccinum_044	s.d._russell_ont_inaturalist_127466233|ITS|OP470462.1
Hemileccinum_045	nampa1797_22|ITS|OP225564.1
Hemileccinum_046	s.d._russell_mycomap_6634|ITS|MK560100.1
Hemileccinum_047	s.d._russell_mycomap_6642|ITS|MK560095.1
Hemileccinum_048	mes_3761|ITS|ON383468.1
Hemileccinum_049	mes_591_flas_f_61771|ITS|ON383423.1
Hemileccinum_050	mes_3738|ITS|ON383388.1
Hemileccinum_051	335|ITS|OM972606.1
Hemileccinum_052	inat:15455475|ITS|OM480702.1
Hemileccinum_053	pul:pul00031468|ITS|OM747755.1
Hemileccinum_054	s.d._russell_inaturalist_57340370|ITS|OM473984.1
Hemileccinum_055	s.d._russell_mycomap_6296|ITS|MK560097.1
Hemileccinum_056	far_1032|ITS|MW675746.1
Hemileccinum_057	farid_625|ITS|MW675742.1
Hemileccinum_058	jab_142|ITS|MW675730.1
Hemileccinum_059	hkas115554|ITS|MZ923792.1
Hemileccinum_060	hkas93310|ITS|MZ923791.1
Hemileccinum_061	hkas115553|ITS|MZ923790.1
Hemileccinum_062	hkas99764|ITS|MZ923789.1
Hemileccinum_063	hkas89150|ITS|MZ923788.1
Hemileccinum_064	hkas67896|ITS|MZ923787.1
Hemileccinum_065	hkas85753|ITS|MZ923786.1
Hemileccinum_066	hkas115749|ITS|MZ923785.1
Hemileccinum_067	hkas83333|ITS|MZ923784.1
Hemileccinum_068	hkas83400|ITS|MZ923783.1
Hemileccinum_069	hkas81120|ITS|MZ923782.1
Hemileccinum_070	hkas50503|ITS|MZ923781.1
Hemileccinum_071	hkas84554|ITS|MZ923780.1
Hemileccinum_072	hkas50350|ITS|MZ923779.1
Hemileccinum_073	hkas83355|ITS|MZ923778.1
Hemileccinum_074	hkas87225|ITS|MZ923777.1
Hemileccinum_075	inaturalist.org/observations/96965804|ITS|OK427266.1
Hemileccinum_076	17173|ITS|JF907783.1
Hemileccinum_077	cfmr:bz_2124_tjb_9404|ITS|MN250211.1
Hemileccinum_078	cfmr:bz_2413_bos_485|ITS|MN250196.1
Hemileccinum_079	mushroom_observer_294169|ITS|MN128237.1
Hemileccinum_080	flas_f_60153|ITS|MF074842.1
Hemileccinum_081	flas_f_60194|ITS|MF074781.1
Hemileccinum_082	ml11121le|ITS|MH011852.1
Hemileccinum_083	ml61972hi|ITS|MH011851.1
Hemileccinum_084	ml61018ho|ITS|MH011850.1
Hemileccinum_085	jmb2014100203|ITS|MH011849.1
Hemileccinum_086	jmb2016111301|ITS|MH011848.1
Hemileccinum_087	jmb2016111001|ITS|MH011847.1
Hemileccinum_088	ml210192hi|ITS|MH011846.1
Hemileccinum_089	ab08|ITS|MH796988.1
Hemileccinum_090	fh:bhi_f473|ITS|MF161282.1
Hemileccinum_091	jlf5666|ITS|MH190826.1
Hemileccinum_092	3660|ITS|KM248936.1
Hemileccinum_093	uf1464|ITS|HM347651.1
Hemileccinum_094	jam0585|ITS|HM347650.1
Hemileccinum_095	mel:2382884|ITS|KP012755.1
Hemileccinum_096	mel:2382829|ITS|KP012704.1
Hemileccinum_097	mel:2382821|ITS|KP012700.1
Hemileccinum_098	fh:mes261|ITS|FJ480429.1
Hemileccinum_099	fh:mes256|ITS|FJ480428.1
Hemileccinum_100	fh:mes242|ITS|FJ480427.1
Hemileccinum_101	bi57408|ITS|KM235998.1
Hemileccinum_102	bi57407|ITS|KM235997.1
Hemileccinum_103	bi57406|ITS|KM235996.1
Hemileccinum_104	bi57405|ITS|KM235995.1
Hemileccinum_105	bi57404|ITS|KM235994.1
Hemileccinum_106	bi57403|ITS|KM235993.1
Hemileccinum_107	bi57402|ITS|KM235992.1
Hemileccinum_108	bi57401|ITS|KM235991.1
Hemileccinum_109	fh:mes116|ITS|FJ480434.1
Hemileccinum_110	fh:mes117|ITS|FJ480433.1
Hemileccinum_111	fh:mes114|ITS|FJ480432.1
Hemileccinum_112	fh:mes115|ITS|FJ480431.1
Hemileccinum_113	fh:mes250|ITS|FJ480430.1
Hemileccinum_114	AY127032.1|ITS|AY127032.1
Hemileccinum_115	ma_fungi_47698|ITS|AJ419187.1
