Hourangia_01	hkas115204|ITS|MZ427218.1
Hourangia_02	hkas115183|ITS|MZ427199.1
Hourangia_03	hkas115175|ITS|MZ427191.1
Hourangia_04	fructification|ITS|OQ743520.1
Hourangia_05	fructification|ITS|OQ555174.1
Hourangia_06	fructification|ITS|OQ555173.1
Hourangia_07	hkas111700|ITS|ON794224.1
Hourangia_08	le315626|ITS|MZ451348.1
Hourangia_09	ny:1491202|ITS|NR_120023.2
Hourangia_10	fhmu846|ITS|MT650111.1
Hourangia_11	fhmu3109|ITS|MT650110.1
Hourangia_12	fhmu3084|ITS|MT650109.1
Hourangia_13	fhmu2981|ITS|MT650108.1
Hourangia_14	fhmu2230|ITS|MT650107.1
Hourangia_15	fhmu2209|ITS|MT650106.1
Hourangia_16	fhmu2197|ITS|MT650105.1
Hourangia_17	fhmu2104|ITS|MT650104.1
Hourangia_18	fhmu1684|ITS|MT650103.1
Hourangia_19	fhmu1428|ITS|MT650102.1
Hourangia_20	520625mf484_11_hgasmf01_9079|ITS|MZ092715.1
Hourangia_21	sfc20140823_14|ITS|MN794903.1
Hourangia_22	hkas105274|ITS|MT520084.1
Hourangia_23	mhhnu_30884|ITS|MK253774.1
Hourangia_24	mhhnu_8832|ITS|MK430044.1
Hourangia_25	mg484|ITS|KX911873.1
Hourangia_26	hkas_68284|ITS|KP137002.1
Hourangia_27	hkas_68306|ITS|KP137001.1
Hourangia_28	hkas_53340|ITS|KP137000.1
Hourangia_29	hkas_68318|ITS|KP136999.1
Hourangia_30	hkas_54803|ITS|KP136998.1
Hourangia_31	hkas_54450|ITS|KP136997.1
Hourangia_32	hkas_68342|ITS|KP136996.1
Hourangia_33	hkas_57735|ITS|KP136995.1
Hourangia_34	hkas_61644|ITS|KP136994.1
Hourangia_35	hkas_53383|ITS|KP136993.1
Hourangia_36	hkas_57427|ITS|KP136992.1
Hourangia_37	hkas_53355|ITS|KP136991.1
Hourangia_38	hkas_53413|ITS|KP136990.1
Hourangia_39	hkas_55357|ITS|KP136989.1
Hourangia_40	hkas_53431|ITS|KP136988.1
Hourangia_41	reh8062|ITS|JQ003627.1
Hourangia_42	reh8063|ITS|JQ003626.1
