Imperator_01	mb241006/01|ITS|PQ569372.1
Imperator_02	f_1030582|ITS|ON000903.1
Imperator_03	mb000258|ITS|MW520192.1
Imperator_04	18431|ITS|JF907796.1
Imperator_05	17750|ITS|JF907790.1
Imperator_06	ml01811rs|ITS|MH011873.1
Imperator_07	ml211101bl|ITS|MH011872.1
Imperator_08	ml110112bl|ITS|MH011871.1
Imperator_09	fr2015613|ITS|MH011870.1
Imperator_10	fr2015611|ITS|MH011869.1
Imperator_11	fr2015605|ITS|MH011868.1
Imperator_12	fr2011127|ITS|MH011867.1
Imperator_13	fr2011123|ITS|MH011866.1
Imperator_14	prm_924419|ITS|LT223153.1
Imperator_15	brnm_766829|ITS|LT223152.1
Imperator_16	b19_is32|ITS|LT223151.1
Imperator_17	fr2011127|ITS|KR782306.1
Imperator_18	fr2011123|ITS|KR782302.1
Imperator_19	btorosusitsgm|ITS|KR782312.1
Imperator_20	jam0622|ITS|HM347667.1
Imperator_21	uf503|ITS|HM347664.1
Imperator_22	jam0639|ITS|HM347647.1
