Leccinellum_01	omdl_inat_173523733|ITS|PX094364.1
Leccinellum_02	omdl_inat_235197774|ITS|PX094300.1
Leccinellum_03	sample32|ITS|PV940786.1
Leccinellum_04	flas_f_60648|ITS|MH211676.1
Leccinellum_05	flas_f_60542|ITS|MH211673.1
Leccinellum_06	dp5445|ITS|PV241500.1
Leccinellum_07	jd1553|ITS|PV739655.1
Leccinellum_08	omdl_inat_232432825|ITS|PV708653.1
Leccinellum_09	omdl_inat_118848499|ITS|PV708637.1
Leccinellum_10	s._d._russell_inat_231725061|ITS|PV704753.1
Leccinellum_11	s._d._russell_inat_231328143|ITS|PV704744.1
Leccinellum_12	omdl_inat_176204934|ITS|OR824643.1
Leccinellum_13	omdl_inat_171113136|ITS|OR785935.1
Leccinellum_14	omdl_inat_178912389|ITS|PP156332.1
Leccinellum_15	omdl_inat_190089757|ITS|PP156193.1
Leccinellum_16	amb21458|ITS|PV399861.1
Leccinellum_17	amb21457|ITS|PV399860.1
Leccinellum_18	omdl_inat_131924722|ITS|PP850373.1
Leccinellum_19	kumush04|ITS|OQ170827.1
Leccinellum_20	f300|ITS|OR625696.1
Leccinellum_21	inat52710713|ITS|ON534170.1
Leccinellum_22	s.d._russell_ont_inaturalist_130674922|ITS|OP749001.1
Leccinellum_23	jlf11057|ITS|OP616809.1
Leccinellum_24	jlf10888|ITS|OP616808.1
Leccinellum_25	jlf11050|ITS|OP616807.1
Leccinellum_26	s.d._russell_ont_inaturalist_127288808|ITS|OP549247.1
Leccinellum_27	s.d._russell_ont_inaturalist_129940185|ITS|OP549160.1
Leccinellum_28	s.d._russell_ont_inaturalist_129940796|ITS|OP549158.1
Leccinellum_29	hkas122418|ITS|ON794283.1
Leccinellum_30	hkas122386|ITS|ON794265.1
Leccinellum_31	pul:pul00031118|ITS|ON209220.1
Leccinellum_32	pul:pul00031053|ITS|ON209218.1
Leccinellum_33	pul:pul00031046|ITS|ON209216.1
Leccinellum_34	pul:pul00030938|ITS|OM747753.1
Leccinellum_35	pul:pul00031387|ITS|OM747736.1
Leccinellum_36	s.d._russell_inaturalist_57340418|ITS|OM473921.1
Leccinellum_37	zc32|ITS|MZ158308.1
Leccinellum_38	mushroom_observer_327997_mycoflora_54416|ITS|MW882079.1
Leccinellum_39	kpm_nc_0017831|ITS|KC552008.1
Leccinellum_40	17388|ITS|JF908325.1
Leccinellum_41	hal_bp_118|ITS|MT594527.1
Leccinellum_42	hal_bp_95|ITS|MT594526.1
Leccinellum_43	fhmu1758|ITS|MK816326.1
Leccinellum_44	fhmu2223|ITS|MK816325.1
Leccinellum_45	fhmu2219|ITS|MK816324.1
Leccinellum_46	otu821|ITS|MT596367.1
Leccinellum_47	otu1487|ITS|MT594935.1
Leccinellum_48	mushroom_observer_295969|ITS|MN121059.1
Leccinellum_49	somf29857|ITS|MH011889.1
Leccinellum_50	somf29859|ITS|MH011888.1
Leccinellum_51	somf29858|ITS|MH011887.1
Leccinellum_52	ml902122ll|ITS|MH011886.1
Leccinellum_53	ml61232lc|ITS|MH011885.1
Leccinellum_54	ml90902ll|ITS|MH011884.1
Leccinellum_55	ml51412ll|ITS|MH011883.1
Leccinellum_56	ml51352l|ITS|MH011882.1
Leccinellum_57	ml0139lc|ITS|MH011881.1
Leccinellum_58	ml412142lc|ITS|MH011880.1
Leccinellum_59	pezilla70|ITS|MH011879.1
Leccinellum_60	fr2011144|ITS|MH011878.1
Leccinellum_61	pam07020203|ITS|MH011834.1
Leccinellum_62	a8|ITS|MG383655.1
Leccinellum_63	leccinum_albellum_mb_06055_its1f_massachusetts|ITS|MH571414.1
Leccinellum_64	flas_f_61741|ITS|MH488723.1
Leccinellum_65	flas_f_61838|ITS|MH488722.1
Leccinellum_66	mushroom_observer_244590|ITS|MH234469.1
Leccinellum_67	5515|ITS|KM248926.1
Leccinellum_68	hkas_82191|ITS|KX427189.1
Leccinellum_69	champ_28|ITS|KX449433.1
Leccinellum_70	ynlr_1|ITS|KY440111.1
Leccinellum_71	hkas:92188|ITS|KU360243.1
Leccinellum_72	hkas:82191|ITS|KU321700.1
Leccinellum_73	mhhnu_8338|ITS|KU518328.1
Leccinellum_74	dc_14_019|ITS|KT907354.1
Leccinellum_75	lc57102|ITS|KM236027.1
Leccinellum_76	lc57101|ITS|KM236026.1
Leccinellum_77	m_kuo_07120801_holotype_ny|ITS|KC691207.1
Leccinellum_78	hkas50221|ITS|JQ928612.1
Leccinellum_79	rc.f94.103|ITS|JN021053.1
Leccinellum_80	su70|ITS|DQ131631.1
Leccinellum_81	AF454590.1|ITS|AF454590.1
Leccinellum_82	AF454589.1|ITS|AF454589.1
