Neoboletus_001	hkas_124745|ITS|PV715485.1
Neoboletus_002	s._d._russell_inat_231327776|ITS|PV704736.1
Neoboletus_003	hkas134787|ITS|PV611528.1
Neoboletus_004	hay_f_011633|ITS|PV587952.1
Neoboletus_005	ah_58353|ITS|PV583767.1
Neoboletus_006	omdl_inat_170504470|ITS|OR785963.1
Neoboletus_007	omdl_inat_172728652|ITS|OR785956.1
Neoboletus_008	omdl_inat_171446114|ITS|OR785941.1
Neoboletus_009	fds_ca_02826|ITS|PV529688.1
Neoboletus_010	fds_ca_02827|ITS|PV529686.1
Neoboletus_011	fds_ca_02855|ITS|PV529685.1
Neoboletus_012	fds_ca_02858|ITS|PV529684.1
Neoboletus_013	arora19014|ITS|PV437259.1
Neoboletus_014	cqjlp20241018_01|ITS|PV436642.1
Neoboletus_015	omdl_inat_179300453|ITS|PQ847559.1
Neoboletus_016	omdl_inat_181939192|ITS|PQ287891.1
Neoboletus_017	omdl_inat_128506699|ITS|PP791158.1
Neoboletus_018	omdl_inat_182585300|ITS|PP455290.1
Neoboletus_019	dai_25599|ITS|PQ191323.1
Neoboletus_020	omdl_inat_171113134|ITS|OR825571.1
Neoboletus_021	omdl_inat_171445892|ITS|OR825569.1
Neoboletus_022	omdl_inat_171445926|ITS|OR825568.1
Neoboletus_023	jlf11059_az_inaturalist_145607657|ITS|PV210133.1
Neoboletus_024	omdl_inat_172728623|ITS|OR987355.1
Neoboletus_025	mnhn_pc_pc0676057|ITS|PV121534.1
Neoboletus_026	ns4915|ITS|PV055950.1
Neoboletus_027	ns4910|ITS|PV055948.1
Neoboletus_028	arora21818|ITS|PV055947.1
Neoboletus_029	arora21773b|ITS|PV055922.1
Neoboletus_030	arora21773a|ITS|PV055921.1
Neoboletus_031	arora21771|ITS|PV055918.1
Neoboletus_032	arora21767|ITS|PV055915.1
Neoboletus_033	arora21786|ITS|PV055913.1
Neoboletus_034	arora21768|ITS|PV055912.1
Neoboletus_035	jlf9996_inaturalist_105935935|ITS|PV052870.1
Neoboletus_036	jlf9928_inaturalist_111257612|ITS|PV052869.1
Neoboletus_037	jlf7898_inaturalist_149297303|ITS|PV052868.1
Neoboletus_038	jlf7727_inaturalist_149198392|ITS|PV052867.1
Neoboletus_039	ns4990|ITS|PV017595.1
Neoboletus_040	ns1969|ITS|PV017549.1
Neoboletus_041	arora21840|ITS|PV017279.1
Neoboletus_042	arora21833|ITS|PV017273.1
Neoboletus_043	arora21755|ITS|PV017265.1
Neoboletus_044	jlf8884_inaturalist_110300036|ITS|PV017256.1
Neoboletus_045	ns4889|ITS|PV017089.1
Neoboletus_046	jlf10235_inaturalist_106071549|ITS|PQ847510.1
Neoboletus_047	jlf9972_inaturalist_105927498|ITS|PQ847509.1
Neoboletus_048	jlf10226_inaturalist_106071531|ITS|PQ847508.1
Neoboletus_049	jlf9978_inaturalist_105927526|ITS|PQ847507.1
Neoboletus_050	jlf9820_az_inaturalist_105841141|ITS|PQ847506.1
Neoboletus_051	jlf9819_az_inaturalist_105841139|ITS|PQ847505.1
Neoboletus_052	omdl_inat_178099705|ITS|PQ822133.1
Neoboletus_053	omdl_inat_179825466|ITS|PQ822103.1
Neoboletus_054	fds_ca_04817|ITS|PQ810626.1
Neoboletus_055	fds_ca_04824|ITS|PQ810613.1
Neoboletus_056	fds_ca_04822|ITS|PQ810606.1
Neoboletus_057	xgll20210920_01|ITS|PQ784865.1
Neoboletus_058	PQ773193.1|ITS|PQ773193.1
Neoboletus_059	f_163|ITS|PQ641298.1
Neoboletus_060	hay_f_003180|ITS|PQ583159.1
Neoboletus_061	fds_ca_00265|ITS|PQ527953.1
Neoboletus_062	fds_ca_05395|ITS|PQ453682.1
Neoboletus_063	bjtc:fm1055|ITS|NR_191307.1
Neoboletus_064	197|ITS|OM972468.1
Neoboletus_065	164|ITS|OM972435.1
Neoboletus_066	133|ITS|OM972404.1
Neoboletus_067	97|ITS|OM809270.1
Neoboletus_068	pul:pul00031392|ITS|OM747735.1
Neoboletus_069	s.d._russell_inaturalist_57058792|ITS|OM473884.1
Neoboletus_070	s.d._russell_inaturalist_57033573|ITS|OM473873.1
Neoboletus_071	mushroom_observer_327568_mycoflora_54403|ITS|MW882067.1
Neoboletus_072	itcv:df_445|ITS|OQ975741.1
Neoboletus_073	itcv:df_443|ITS|OQ975740.1
Neoboletus_074	hay_f_007021|ITS|PP576201.1
Neoboletus_075	2127941_ld|ITS|PP455310.1
Neoboletus_076	2119041_ld|ITS|PP455309.1
Neoboletus_077	inat31878612|ITS|MN498124.1
Neoboletus_078	hkas:76660|ITS|NR_189955.1
Neoboletus_079	bjtc_fm1055|ITS|OR655157.1
Neoboletus_080	mak:kum26|ITS|OR780968.1
Neoboletus_081	nysf3093|ITS|ON142311.1
Neoboletus_082	inat171490585|ITS|OR290857.1
Neoboletus_083	inat168979123|ITS|OR290854.1
Neoboletus_084	hkas76660|ITS|OQ888703.1
Neoboletus_085	yaas7no|ITS|OR075199.1
Neoboletus_086	mo402993|ITS|ON256866.1
Neoboletus_087	mo460816|ITS|ON134018.1
Neoboletus_088	jlf10834|ITS|OQ195657.1
Neoboletus_089	s.d._russell_ont_inaturalist_136495155|ITS|OP749039.1
Neoboletus_090	s.d._russell_ont_nama2022_inaturalist_137751847|ITS|OP743532.1
Neoboletus_091	s.d._russell_ont_inaturalist_129909979|ITS|OP643301.1
Neoboletus_092	s.d._russell_ont_inaturalist_129907651|ITS|OP643299.1
Neoboletus_093	s.d._russell_ont_inaturalist_130872214|ITS|OP642941.1
Neoboletus_094	jlf11179|ITS|OP630621.1
Neoboletus_095	s.d._russell_ont_inaturalist_129604595|ITS|OP549217.1
Neoboletus_096	s.d._russell_ont_inaturalist_129866347|ITS|OP549184.1
Neoboletus_097	jlf11180|ITS|OP502581.1
Neoboletus_098	jlf11177|ITS|OP502529.1
Neoboletus_099	jlf11148|ITS|OP502501.1
Neoboletus_100	s.d._russell_inaturalist_15933967|ITS|OP477022.1
Neoboletus_101	s.d._russell_inaturalist_15934198|ITS|OP477009.1
Neoboletus_102	pul:pul00037713|ITS|OP476982.1
Neoboletus_103	pul:pul00037735|ITS|OP476975.1
Neoboletus_104	s.d._russell_inaturalist_13059710|ITS|OP476973.1
Neoboletus_105	s.d._russell_ont_inaturalist_129932131|ITS|OP470621.1
Neoboletus_106	s.d._russell_ont_inaturalist_129771339|ITS|OP470579.1
Neoboletus_107	s.d._russell_ont_inaturalist_129764007|ITS|OP470557.1
Neoboletus_108	s.d._russell_ont_inaturalist_130688851|ITS|OP455648.1
Neoboletus_109	dbg:f_023858|ITS|OP177971.1
Neoboletus_110	arora21812|ITS|OP020672.1
Neoboletus_111	mushroom_observer_250472|ITS|ON705307.1
Neoboletus_112	mushroom_observer_418250|ITS|ON950122.1
Neoboletus_113	s.d._russell_inaturalist_56783815|ITS|OM473835.1
Neoboletus_114	jlf2552|ITS|KC812311.1
Neoboletus_115	mushroom_observer_376128_haplotype_2|ITS|ON705326.1
