Octaviania_001	flas_f_71130|ITS|OQ883920.1
Octaviania_002	flas_f_69715|ITS|OQ150418.1
Octaviania_003	flas_f_69607|ITS|OQ150332.1
Octaviania_004	flas_f_71128|ITS|OQ066245.1
Octaviania_005	flas_f_68658|ITS|OM672896.1
Octaviania_006	osc_131925|ITS|MT934792.1
Octaviania_007	trappe25908_its|ITS|MT668939.1
Octaviania_008	mes807|ITS|MT668938.1
Octaviania_009	flas:f_71893|ITS|OR762681.1
Octaviania_010	22627_itcv|ITS|OQ870211.1
Octaviania_011	22628_holotype_itcv|ITS|OQ870210.1
Octaviania_012	kpm:nc_27954|ITS|NR_177540.1
Octaviania_013	pdd:114018|ITS|OP141451.1
Octaviania_014	pdd:113249|ITS|OP141444.1
Octaviania_015	pdd:113138|ITS|OP141435.1
Octaviania_016	pdd:113094|ITS|OP141431.1
Octaviania_017	pdd:113033|ITS|OP141429.1
Octaviania_018	pdd:107144|ITS|OP141416.1
Octaviania_019	pdd:106347|ITS|OP141403.1
Octaviania_020	pdd:105448|ITS|OP141380.1
Octaviania_021	pdd:105431|ITS|OP141378.1
Octaviania_022	pdd:96888|ITS|OP141369.1
Octaviania_023	mes_604|ITS|ON383424.1
Octaviania_024	mes_3852|ITS|ON383417.1
Octaviania_025	flas_f_68404|ITS|OM672764.1
Octaviania_026	kjl006|ITS|LC661384.1
Octaviania_027	sr05|ITS|LC661383.1
Octaviania_028	agw06|ITS|LC661382.1
Octaviania_029	osc_132097|ITS|KP222909.1
Octaviania_030	kpm_nc_27371|ITS|MT934813.1
Octaviania_031	kpm_nc_28183|ITS|MT934812.1
Octaviania_032	kpm_nc_18031|ITS|MT934811.1
Octaviania_033	kpm_nc_24891|ITS|MT934810.1
Octaviania_034	kpm_nc_24889|ITS|MT934809.1
Octaviania_035	kpm_nc_27972|ITS|MT934808.1
Octaviania_036	kpm_nc_27968|ITS|MT934807.1
Octaviania_037	kpm_nc_27965|ITS|MT934806.1
Octaviania_038	kpm_nc_26008|ITS|MT934805.1
Octaviania_039	kpm_nc_25370|ITS|MT934804.1
Octaviania_040	kpm_nc_27956|ITS|MT934803.1
Octaviania_041	kpm_nc_27623|ITS|MT934802.1
Octaviania_042	kpm_nc_27622|ITS|MT934801.1
Octaviania_043	kpm_nc_27954|ITS|MT934800.1
Octaviania_044	kpm_nc_27952|ITS|MT934799.1
Octaviania_045	kpm_nc_27945|ITS|MT934798.1
Octaviania_046	kpm_nc_27955|ITS|MT934797.1
Octaviania_047	kpm_nc_23934|ITS|MT934796.1
Octaviania_048	kpm_nc_18032|ITS|MT934795.1
Octaviania_049	hua_222100_/_a._corrales_1036|ITS|MT934794.1
Octaviania_050	kpm_nc_17828rh1181|ITS|MT934793.1
Octaviania_051	kpm_nc_28189|ITS|MT934791.1
Octaviania_052	kpm_nc_28188|ITS|MT934790.1
Octaviania_053	osc_58498|ITS|MT934789.1
Octaviania_054	mes270|ITS|MT934788.1
Octaviania_055	kra_f_2012_99|ITS|MT934787.1
Octaviania_056	mel_2341996|ITS|MT934786.1
Octaviania_057	kpm_nc_24872|ITS|MT934785.1
Octaviania_058	kpm_nc_0017828|ITS|KC552007.1
Octaviania_059	pnw_fungi_5603|ITS|KC552006.1
Octaviania_060	mel2128484|ITS|KC552005.1
Octaviania_061	mel2341996|ITS|KC552004.1
Octaviania_062	mes806_its|ITS|MT668937.1
Octaviania_063	trappe12445_its|ITS|MT668936.1
Octaviania_064	otu1436|ITS|MT594898.1
Octaviania_065	pdd:100517|ITS|KP191814.1
Octaviania_066	pdd:100060|ITS|KP191813.1
Octaviania_067	pdd:97899|ITS|KP191812.1
Octaviania_068	pdd:105207|ITS|KP191811.1
Octaviania_069	pdd:103541|ITS|KP191810.1
Octaviania_070	pdd:100144|ITS|KP191809.1
Octaviania_071	pdd:95328|ITS|HQ533043.1
Octaviania_072	hkas_97310|ITS|MH188928.1
Octaviania_073	hkas_97306|ITS|MH188927.1
Octaviania_074	hkas_99537|ITS|MH188926.1
Octaviania_075	hkas_99536|ITS|MH188925.1
Octaviania_076	hkas_96748|ITS|MH188924.1
Octaviania_077	hkas_95753|ITS|MH188923.1
Octaviania_078	kpm:nc_0017749|ITS|NR_119976.2
Octaviania_079	kpm:nc_0017776|ITS|NR_121505.1
Octaviania_080	kpm:nc_0017822|ITS|NR_120080.1
Octaviania_081	kpm:nc_0017819|ITS|NR_120079.1
Octaviania_082	kpm:nc_0017763|ITS|NR_119977.1
Octaviania_083	ac382|ITS|KY548871.1
Octaviania_084	rbg_kew_km81259|ITS|EU784379.1
Octaviania_085	rbg_kew_km102511|ITS|EU784378.1
Octaviania_086	ic1091316|ITS|KX756599.1
Octaviania_087	jmv20020803_3|ITS|KX756598.1
Octaviania_088	ic24081315|ITS|KX756597.1
Octaviania_089	ic29091385|ITS|KX756596.1
Octaviania_090	ic14081321|ITS|KX756595.1
Octaviania_091	bri_aq_797591|ITS|KP311446.1
Octaviania_092	h121|ITS|KF154253.1
Octaviania_093	cj0121111nr02|ITS|KF154252.1
Octaviania_094	24125|ITS|HE814147.1
Octaviania_095	pdd:89058|ITS|GU222293.1
Octaviania_096	kpm_nc_0017849|ITS|JQ619183.1
Octaviania_097	kpm_nc_0017822|ITS|JQ619182.1
Octaviania_098	kpm_nc_0017820|ITS|JQ619181.1
Octaviania_099	kpm_nc_0017819|ITS|JQ619180.1
Octaviania_100	kpm_nc_0017818|ITS|JQ619179.1
Octaviania_101	kpm_nc_0017824|ITS|JQ619178.1
Octaviania_102	kpm_nc_0017829|ITS|JQ619177.1
Octaviania_103	kpm_nc_0017813|ITS|JQ619176.1
Octaviania_104	kpm_nc_0017810|ITS|JQ619175.1
Octaviania_105	kpm_nc_0017797|ITS|JQ619174.1
Octaviania_106	kpm_nc_0017793|ITS|JQ619173.1
Octaviania_107	kpm_nc_0017727|ITS|JQ619172.1
Octaviania_108	kpm_nc_0017783|ITS|JQ619171.1
Octaviania_109	kpm_nc_0017785|ITS|JQ619170.1
Octaviania_110	kpm_nc_0018026|ITS|JQ619169.1
Octaviania_111	kpm_nc_0018021|ITS|JQ619168.1
Octaviania_112	kpm_nc_0017724|ITS|JQ619167.1
Octaviania_113	kpm_nc_0018020|ITS|JQ619166.1
Octaviania_114	trappe23377|ITS|JN257998.1
Octaviania_115	kpm_nc_0017776|ITS|JN257997.1
Octaviania_116	kpm_nc_001773|ITS|JN257996.1
Octaviania_117	kpm_nc_0017771|ITS|JN257995.1
Octaviania_118	kpm_nc_0017770|ITS|JN257994.1
Octaviania_119	kpm_nc_0017767|ITS|JN257993.1
Octaviania_120	kpm_nc_0017764|ITS|JN257992.1
Octaviania_121	kpm_nc_0017763|ITS|JN257991.1
Octaviania_122	kpm_nc_0017745|ITS|JN257990.1
Octaviania_123	kpm_nc_0017752|ITS|JN257989.1
Octaviania_124	kpm_nc_0017751|ITS|JN257988.1
Octaviania_125	kpm_nc_0017750|ITS|JN257987.1
Octaviania_126	kpm_nc_0017749|ITS|JN257986.1
Octaviania_127	kpm_nc_0017748|ITS|JN257985.1
Octaviania_128	mel2079332|ITS|HQ647145.1
Octaviania_129	tl2329|ITS|HQ647144.1
Octaviania_130	t18104|ITS|HQ328789.1
Octaviania_131	t12570|ITS|HQ328786.1
Octaviania_132	t28251|ITS|HQ328784.1
Octaviania_133	orihara_231|ITS|EU414291.1
Octaviania_134	orihara_227|ITS|EU414289.1
