Paxilloboletus_01	unipar:sab0716|ITS|NR_184947.1
Paxilloboletus_02	brbel:br5020212110187v|ITS|NR_177625.1
Paxilloboletus_03	adk5493|ITS|MZ702477.1
Paxilloboletus_04	adk5117|ITS|MZ702476.1
Paxilloboletus_05	adk5072_holotype|ITS|MZ702475.1
Paxilloboletus_06	kit00524|ITS|MZ702474.1
Paxilloboletus_07	sab0715|ITS|MZ702473.1
Paxilloboletus_08	adk4368|ITS|MZ702472.1
Paxilloboletus_09	syn3877|ITS|MZ702471.1
Paxilloboletus_10	sab0716_holotype|ITS|MZ702470.1
Paxilloboletus_11	adk5006|ITS|MZ702469.1
Paxilloboletus_12	adk3703|ITS|MZ702468.1
Paxilloboletus_13	adk2292|ITS|MZ702467.1
