Pulveroboletus_001	omdl_inat_235433398|ITS|PX094292.1
Pulveroboletus_002	kun_hkas132701|ITS|PP382496.1
Pulveroboletus_003	flas_f_61862|ITS|MH212117.1
Pulveroboletus_004	hkas114476|ITS|MZ425994.1
Pulveroboletus_005	omdl_inat_190111097|ITS|PP156289.1
Pulveroboletus_006	dai_26412|ITS|PQ191390.1
Pulveroboletus_007	arora21899|ITS|PV335034.1
Pulveroboletus_008	acad_21589f|ITS|PV248594.1
Pulveroboletus_009	acad_21470f|ITS|PV248448.1
Pulveroboletus_010	ucsc_f_00857|ITS|PV056341.1
Pulveroboletus_011	kd_23_021|ITS|PP927973.1
Pulveroboletus_012	kd_22_020|ITS|PP923417.1
Pulveroboletus_013	hay_f_007669|ITS|PQ061344.1
Pulveroboletus_014	oms_033|ITS|LC667061.1
Pulveroboletus_015	s.d._russell_ont_nama2022_inaturalist_137768040|ITS|OP743577.1
Pulveroboletus_016	s.d._russell_nama2018_ms_inaturalist_13893737|ITS|OP541640.1
Pulveroboletus_017	inat89142916|ITS|OP480728.1
Pulveroboletus_018	hkas122716|ITS|ON794446.1
Pulveroboletus_019	hkas122533|ITS|ON794357.1
Pulveroboletus_020	hkas122530|ITS|ON794355.1
Pulveroboletus_021	hkas122514|ITS|ON794344.1
Pulveroboletus_022	hkas122407|ITS|ON794275.1
Pulveroboletus_023	mushroom_observer_423761|ITS|ON950104.1
Pulveroboletus_024	th10464|ITS|MZ351701.1
Pulveroboletus_025	th10268|ITS|MZ351535.1
Pulveroboletus_026	th9864|ITS|MZ351534.1
Pulveroboletus_027	bd668|ITS|MZ351533.1
Pulveroboletus_028	th10362|ITS|MZ351532.1
Pulveroboletus_029	jku223|ITS|MZ351531.1
Pulveroboletus_030	th10476|ITS|MZ351513.1
Pulveroboletus_031	s.d._russell_inaturalist_98568110|ITS|OM987309.1
Pulveroboletus_032	pul:pul00031400|ITS|OM747719.1
Pulveroboletus_033	pul:pul00038983|ITS|OM747693.1
Pulveroboletus_034	pul:pul00031333|ITS|OM747692.1
Pulveroboletus_035	s.d._russell_inaturalist_56785589|ITS|OM473844.1
Pulveroboletus_036	jy2021_8_18_15|ITS|OL998844.1
Pulveroboletus_037	hgs2021_8_21_6|ITS|OL998835.1
Pulveroboletus_038	le312686|ITS|MZ451355.1
Pulveroboletus_039	hkas74933|ITS|MW520197.1
Pulveroboletus_040	hkas57628|ITS|MW520196.1
Pulveroboletus_041	rlc_384|ITS|MW374175.1
Pulveroboletus_042	ymf5.0095|ITS|MW874541.1
Pulveroboletus_043	sb_0063|ITS|MZ027815.1
Pulveroboletus_044	hla_0341|ITS|MZ027814.1
Pulveroboletus_045	hdr_0015|ITS|MZ027813.1
Pulveroboletus_046	hla_0178|ITS|MZ027812.1
Pulveroboletus_047	badou_0002|ITS|MZ027811.1
Pulveroboletus_048	ny575820|ITS|JQ924298.1
Pulveroboletus_049	kit_0086|ITS|MW829791.1
Pulveroboletus_050	sfc20140912_18|ITS|MN794905.1
Pulveroboletus_051	ns2538|ITS|MW343685.1
Pulveroboletus_052	a17600|ITS|MW343684.1
Pulveroboletus_053	a14808|ITS|MW343683.1
Pulveroboletus_054	a14805|ITS|MW343682.1
Pulveroboletus_055	a14803|ITS|MW343681.1
Pulveroboletus_056	18465|ITS|JF908790.1
Pulveroboletus_057	cnv42|ITS|MT345219.1
Pulveroboletus_058	clzhao_4576|ITS|MK343637.1
Pulveroboletus_059	hfjau_td199|ITS|MN622736.1
Pulveroboletus_060	mhhnu_8628|ITS|MK253786.1
Pulveroboletus_061	mhhnu_31142|ITS|MK253778.1
Pulveroboletus_062	mhhnu_30611|ITS|MK253766.1
Pulveroboletus_063	ab18|ITS|MH796991.1
Pulveroboletus_064	hkas:75537|ITS|NR_154349.1
Pulveroboletus_065	hkas:83190|ITS|NR_154348.1
Pulveroboletus_066	hkas:75767|ITS|NR_154330.1
Pulveroboletus_067	sam092w03_3|ITS|MG018118.1
Pulveroboletus_068	d07|ITS|MG018074.1
Pulveroboletus_069	3699|ITS|KM248937.1
Pulveroboletus_070	n.k.zeng2933|ITS|KY048414.1
Pulveroboletus_071	n.k.zeng2929|ITS|KY048412.1
Pulveroboletus_072	n.k.zeng2917|ITS|KY048411.1
Pulveroboletus_073	hkas84926|ITS|KX453817.1
Pulveroboletus_074	hkas75537|ITS|KX453816.1
Pulveroboletus_075	hkas58867|ITS|KX453815.1
Pulveroboletus_076	g.l.zhang051|ITS|KX453813.1
Pulveroboletus_077	m.s.su63|ITS|KX453812.1
Pulveroboletus_078	n.k.zeng852|ITS|KX453811.1
Pulveroboletus_079	n.k.zeng555|ITS|KX453810.1
Pulveroboletus_080	hkas_80851|ITS|KX453809.1
Pulveroboletus_081	s.d.yang112|ITS|KX453808.1
Pulveroboletus_082	n.k.zeng2573|ITS|KX453807.1
Pulveroboletus_083	n.k.zeng2479|ITS|KX453806.1
Pulveroboletus_084	n.k.zeng1561|ITS|KX453805.1
Pulveroboletus_085	n.k.zeng463|ITS|KX453804.1
Pulveroboletus_086	n.k.zeng362|ITS|KX453803.1
Pulveroboletus_087	hkas83190|ITS|KX453802.1
Pulveroboletus_088	hkas82616|ITS|KX453801.1
Pulveroboletus_089	hkas81938|ITS|KX453800.1
Pulveroboletus_090	hkas80682|ITS|KX453799.1
Pulveroboletus_091	hkas80130_1|ITS|KX453798.1
Pulveroboletus_092	hkas80130|ITS|KX453797.1
Pulveroboletus_093	th9221|ITS|KT339273.1
Pulveroboletus_094	hkas_74926|ITS|KT923680.1
Pulveroboletus_095	hkas_74933|ITS|KT923679.1
Pulveroboletus_096	hkas_90212|ITS|KT923678.1
Pulveroboletus_097	hkas_90213|ITS|KT923677.1
Pulveroboletus_098	hkas_90214|ITS|KT923676.1
Pulveroboletus_099	hkas:89483|ITS|KT824249.1
Pulveroboletus_100	hkas:75767|ITS|KT824248.1
Pulveroboletus_101	ny815499|ITS|JQ924299.1
Pulveroboletus_102	ab18|ITS|KR819022.1
Pulveroboletus_103	2042|ITS|HE814141.1
Pulveroboletus_104	268|ITS|HE814134.1
Pulveroboletus_105	222|ITS|HE814131.1
Pulveroboletus_106	137|ITS|HE814072.1
Pulveroboletus_107	HE817957.1|ITS|HE817957.1
Pulveroboletus_108	HE817953.1|ITS|HE817953.1
Pulveroboletus_109	chu21|ITS|DQ407259.1
Pulveroboletus_110	158_132|ITS|AB509565.1
Pulveroboletus_111	165_116|ITS|AB509555.1
Pulveroboletus_112	165_113|ITS|AB509552.1
Pulveroboletus_113	165_56|ITS|AB509511.1
