Retiboletus_001	omdl_mo_523162|ITS|PX094133.1
Retiboletus_002	kun_hkas132731|ITS|PP382508.1
Retiboletus_003	omdl_inat_171071430|ITS|OR785900.1
Retiboletus_004	omdl_inat_180977112|ITS|PQ287864.1
Retiboletus_005	omdl_inat_180515905|ITS|PP156435.1
Retiboletus_006	acad_21472f|ITS|PV248479.1
Retiboletus_007	acad_21459f|ITS|PV248398.1
Retiboletus_008	s._d._russell_inat_195803222|ITS|PV223631.1
Retiboletus_009	s._d._russell_inat_185839002|ITS|PV223622.1
Retiboletus_010	jlf13320_inaturalist_252948862|ITS|PV139023.1
Retiboletus_011	jlf10170_inaturalist_106045015|ITS|PV139022.1
Retiboletus_012	jlf9974_inaturalist_105927504|ITS|PV139021.1
Retiboletus_013	jlf9840_inaturalist_105843361|ITS|PV139020.1
Retiboletus_014	jlf9790_inaturalist_105818120|ITS|PV139019.1
Retiboletus_015	PQ773223.1|ITS|PQ773223.1
Retiboletus_016	omdl_inat_177614318|ITS|OR945096.1
Retiboletus_017	omdl_inat_176963590|ITS|OR945091.1
Retiboletus_018	jbri_m21_113|ITS|PQ613394.1
Retiboletus_019	fire_survey_607c|ITS|OR244612.1
Retiboletus_020	kd_23_048|ITS|OR668528.1
Retiboletus_021	kd_23_040|ITS|OR668526.1
Retiboletus_022	bjtc_fm1797|ITS|OR655158.1
Retiboletus_023	inat92932896|ITS|OP270535.1
Retiboletus_024	yaas8.17_1rf|ITS|OR075202.1
Retiboletus_025	mo458593|ITS|ON134056.1
Retiboletus_026	mo462186|ITS|ON134050.1
Retiboletus_027	mo462714|ITS|ON134038.1
Retiboletus_028	oms_035|ITS|LC667063.1
Retiboletus_029	oms_034|ITS|LC667062.1
Retiboletus_030	hkas_122943|ITS|OM904988.1
Retiboletus_031	hkas_122944|ITS|OM904987.1
Retiboletus_032	hkas_83957|ITS|OM904986.1
Retiboletus_033	hkas_83955|ITS|OM904985.1
Retiboletus_034	hkas_106467|ITS|OM904984.1
Retiboletus_035	hkas_83949|ITS|OM904983.1
Retiboletus_036	hkas_122945|ITS|OM904982.1
Retiboletus_037	hkas_68621|ITS|OM904981.1
Retiboletus_038	hkas_79637|ITS|OM904980.1
Retiboletus_039	hkas_122941|ITS|OM904979.1
Retiboletus_040	hkas_106692|ITS|OM904978.1
Retiboletus_041	hkas_122940|ITS|OM904977.1
Retiboletus_042	hkas_122939|ITS|OM904976.1
Retiboletus_043	hkas_77764|ITS|OM904975.1
Retiboletus_044	hkas_106427|ITS|OM904974.1
Retiboletus_045	hkas_52680|ITS|OM904973.1
Retiboletus_046	hkas_87223|ITS|OM904972.1
Retiboletus_047	hkas_79766|ITS|OM904971.1
Retiboletus_048	hkas_92178|ITS|OM904970.1
Retiboletus_049	halling_10163_1|ITS|OM904969.1
Retiboletus_050	halling_10163|ITS|OM904968.1
Retiboletus_051	fhmu_2045|ITS|OM904967.1
Retiboletus_052	hkas_122942|ITS|OM904966.1
Retiboletus_053	hkas_99770|ITS|OM904965.1
Retiboletus_054	hkas_53420|ITS|OM904964.1
Retiboletus_055	hkas_77850|ITS|OM904963.1
Retiboletus_056	hkas_91228|ITS|OM904962.1
Retiboletus_057	halling_10162|ITS|OM904961.1
Retiboletus_058	hkas_56069|ITS|OM904960.1
Retiboletus_059	inat94360322|ITS|OP480721.1
Retiboletus_060	s.d._russell_ont_inaturalist_128666721|ITS|OP470500.1
Retiboletus_061	hkas122668|ITS|ON794425.1
Retiboletus_062	hkas122552|ITS|ON794366.1
Retiboletus_063	hkas122545|ITS|ON794363.1
Retiboletus_064	mushroom_observer_255496|ITS|ON705274.1
Retiboletus_065	mushroom_observer_329968|ITS|ON705272.1
Retiboletus_066	jjb01_tenn|ITS|MF686543.1
Retiboletus_067	44|ITS|OM972315.1
Retiboletus_068	cfmr:dr_1035_djl_dr_42|ITS|NR_175146.1
Retiboletus_069	pul:pul000311242|ITS|OM747691.1
