Rossbeevera_01	ota:61896|ITS|JX178494.1
Rossbeevera_02	mel_2525480a|ITS|PV650420.1
Rossbeevera_03	pdd:108485|ITS|OP141489.1
Rossbeevera_04	pdd:107145|ITS|OP141417.1
Rossbeevera_05	pdd:96211|ITS|OP141362.1
Rossbeevera_06	pdd:95677|ITS|OP141355.1
Rossbeevera_07	pdd:95438|ITS|OP141354.1
Rossbeevera_08	pdd:87765|ITS|OP141350.1
Rossbeevera_09	dcy2527_hgasmf01_11901|ITS|MZ672016.1
Rossbeevera_10	kpm_nc_28186|ITS|MT934784.1
Rossbeevera_11	kpm_nc_26877|ITS|MT934783.1
Rossbeevera_12	kpm_nc_28182|ITS|MT934782.1
Rossbeevera_13	mel_2128491|ITS|MT934781.1
Rossbeevera_14	kpm_nc_0017850|ITS|KC551990.1
Rossbeevera_15	kpm_nc_0017848|ITS|KC551989.1
Rossbeevera_16	kpm_nc_0018023|ITS|KC551988.1
Rossbeevera_17	kpm_nc_0017847|ITS|KC551987.1
Rossbeevera_18	kpm_nc_0018044|ITS|KC551986.1
Rossbeevera_19	tns_f_36991|ITS|KC551985.1
Rossbeevera_20	kpm_nc_0017845|ITS|KC551984.1
Rossbeevera_21	kpm_nc_0018043|ITS|KC551983.1
Rossbeevera_22	tns_f_36988|ITS|KC551982.1
Rossbeevera_23	tumh_40252|ITS|KC551981.1
Rossbeevera_24	mel2219011|ITS|KC551980.1
Rossbeevera_25	osc61480|ITS|KC551979.1
Rossbeevera_26	to_aus_46|ITS|KC551978.1
Rossbeevera_27	to_aus_72|ITS|KC551977.1
Rossbeevera_28	osc61484|ITS|KC551976.1
Rossbeevera_29	ad56098|ITS|KC551975.1
Rossbeevera_30	mel2079341|ITS|KC551974.1
Rossbeevera_31	pdd:103547|ITS|KP191795.1
Rossbeevera_32	pdd:105099|ITS|KP191794.1
Rossbeevera_33	pdd:103534|ITS|KP191793.1
Rossbeevera_34	pdd:103807|ITS|KP191792.1
Rossbeevera_35	gdgm_46631|ITS|MK035706.1
Rossbeevera_36	rossbeevera_griseobrunnea_gdgm45913|ITS|MH532534.1
Rossbeevera_37	rossbeevera_griseobrunnea_gdgm45266|ITS|MH532533.1
Rossbeevera_38	kpm_nc0017734|ITS|KJ001093.1
Rossbeevera_39	kpm_nc0018094|ITS|KJ001091.1
Rossbeevera_40	kpm_nc0023347|ITS|KJ001089.1
Rossbeevera_41	kpm_nc0023336|ITS|KJ001088.1
Rossbeevera_42	kpm_nc0023334|ITS|KJ001087.1
Rossbeevera_43	kpm_nc0018087|ITS|KJ001086.1
Rossbeevera_44	mel2321058|ITS|KJ001085.1
Rossbeevera_45	mel2329434|ITS|KJ001084.1
Rossbeevera_46	kpm_nc_23352|ITS|MF357925.1
Rossbeevera_47	kpm_nc0023940|ITS|KP222894.1
Rossbeevera_48	kpm_nc0023387|ITS|KP222893.1
Rossbeevera_49	kpm_nc0023928|ITS|KP222892.1
Rossbeevera_50	kpm_nc0023911|ITS|KP222891.1
Rossbeevera_51	kpm_nc0023895|ITS|KP222890.1
Rossbeevera_52	canb:628670|ITS|KP311445.1
Rossbeevera_53	pdd:89084|ITS|GU222301.1
Rossbeevera_54	mel2128491|ITS|HQ647143.1
Rossbeevera_55	mel2264998|ITS|HQ647142.1
Rossbeevera_56	mel2321928|ITS|HQ647141.1
Rossbeevera_57	mel2231712|ITS|HQ647140.1
Rossbeevera_58	mel2078292|ITS|HQ647139.1
Rossbeevera_59	mel2079350|ITS|HQ647138.1
Rossbeevera_60	tl2115|ITS|HQ647137.1
Rossbeevera_61	mel2293673|ITS|HQ647136.1
Rossbeevera_62	tl2348|ITS|HQ647135.1
Rossbeevera_63	mel2079331|ITS|HQ647134.1
Rossbeevera_64	tl2338|ITS|HQ647133.1
Rossbeevera_65	tl2701|ITS|HQ647132.1
Rossbeevera_66	trappe14692|ITS|HQ647131.1
Rossbeevera_67	mel2219011|ITS|HQ647130.1
Rossbeevera_68	kv693|ITS|HQ647129.1
Rossbeevera_69	kv666|ITS|HQ647128.1
Rossbeevera_70	kv584|ITS|HQ647127.1
Rossbeevera_71	kv503|ITS|HQ647126.1
Rossbeevera_72	trappe15656|ITS|HQ647125.1
Rossbeevera_73	tumh_40266|ITS|HQ693878.1
Rossbeevera_74	tns_f_36992|ITS|HQ693877.1
Rossbeevera_75	tns_f_36989|ITS|HQ693876.1
Rossbeevera_76	tns_f_36986|ITS|HQ693875.1
Rossbeevera_77	tumh_40253|ITS|HQ693874.1
