Strobilomyces_001	mexu_oh_30721|ITS|PX070277.1
Strobilomyces_002	mexu_oh_30720|ITS|PX070276.1
Strobilomyces_003	mexu_oh_30719|ITS|PX070275.1
Strobilomyces_004	omdl_inat_227781891|ITS|PV995534.1
Strobilomyces_005	zgcsn107|ITS|PP979449.1
Strobilomyces_006	kun_hkas132620|ITS|PP382466.1
Strobilomyces_007	kun_hkas132783|ITS|PP382426.1
Strobilomyces_008	flas_f_61870|ITS|MH212123.1
Strobilomyces_009	flas_f_61104|ITS|MH211745.1
Strobilomyces_010	flas_f_61013|ITS|MH016947.1
Strobilomyces_011	flas_f_60952|ITS|MH016908.1
Strobilomyces_012	hkas115208|ITS|MZ427221.1
Strobilomyces_013	hkas115203|ITS|MZ427217.1
Strobilomyces_014	hkas115148|ITS|MZ427165.1
Strobilomyces_015	dai_24901|ITS|PQ191439.1
Strobilomyces_016	jlf10746_inaturalist_144716468|ITS|PV240345.1
Strobilomyces_017	jlf10743_az_inaturalist_144716465|ITS|PV240296.1
Strobilomyces_018	omdl_inat_178599279|ITS|PP959535.1
Strobilomyces_019	qdh48|ITS|ON497184.1
Strobilomyces_020	hkas134474|ITS|PP806236.1
Strobilomyces_021	jbri_m22_076|ITS|PQ613408.1
Strobilomyces_022	jbri_m23_084|ITS|PQ613407.1
Strobilomyces_023	tn201913|ITS|LC832091.1
Strobilomyces_024	hnibrfg5358_cku20230904_64|ITS|PQ202861.1
Strobilomyces_025	hs03|ITS|PP998213.1
Strobilomyces_026	hs01|ITS|PP998212.1
Strobilomyces_027	hs01|ITS|PP998211.1
Strobilomyces_028	js20230717_23|ITS|PP768071.1
Strobilomyces_029	omdl_inat_174021689|ITS|PP526089.1
Strobilomyces_030	n.k._zeng2930fhmu1900|ITS|OR035762.1
Strobilomyces_031	n.k._zeng4469fhmu4751|ITS|OR035761.1
Strobilomyces_032	n.k._zeng2939fhmu1909|ITS|OR035760.1
Strobilomyces_033	n.k._zeng4434fhmu4692|ITS|OR035759.1
Strobilomyces_034	n.k._zeng4431fhmu4666|ITS|OR035758.1
Strobilomyces_035	n.k._zeng4427fhmu4706|ITS|OR035757.1
Strobilomyces_036	n.k._zeng2937fhmu1907|ITS|OR035756.1
Strobilomyces_037	n.k._zeng2430fhmu1556|ITS|OR035755.1
Strobilomyces_038	n.k._zeng2248fhmu1493|ITS|OR035754.1
Strobilomyces_039	n.k._zeng2987fhmu1948|ITS|OR035753.1
Strobilomyces_040	n.k._zeng3116fhmu2077|ITS|OR035752.1
Strobilomyces_041	n.k._zeng3341fhmu3129|ITS|OR035751.1
Strobilomyces_042	n.k._zeng2976fhmu1937|ITS|OR035750.1
Strobilomyces_043	unca00105|ITS|PP086561.1
Strobilomyces_044	bjtc_fm1059|ITS|OR655163.1
Strobilomyces_045	bjtc_fm687|ITS|OR655162.1
Strobilomyces_046	jbri_m23_164|ITS|OR852548.1
Strobilomyces_047	sl2127|ITS|OR636158.1
Strobilomyces_048	hkas:84700|ITS|NR_186929.1
Strobilomyces_049	ss70|ITS|OR244621.1
Strobilomyces_050	flas_f_71457|ITS|OR052617.1
Strobilomyces_051	flas_f_69478|ITS|OR052572.1
Strobilomyces_052	mo462187|ITS|ON134046.1
Strobilomyces_053	mo460830|ITS|ON134044.1
Strobilomyces_054	1068_premix|ITS|OQ612501.1
Strobilomyces_055	hkas:80300|ITS|NR_184470.1
Strobilomyces_056	hkas:74863|ITS|NR_184469.1
Strobilomyces_057	hkas:87097|ITS|NR_184468.1
Strobilomyces_058	hkas:73175|ITS|NR_184467.1
Strobilomyces_059	74_17|ITS|OQ437405.1
Strobilomyces_060	inaturalist_134846948|ITS|OQ363130.1
Strobilomyces_061	oms_036|ITS|LC667064.1
Strobilomyces_062	flas_f_68974|ITS|OP896770.1
Strobilomyces_063	jlf10784|ITS|OP642544.1
Strobilomyces_064	jlf11099|ITS|OP642543.1
Strobilomyces_065	jlf11088|ITS|OP642542.1
Strobilomyces_066	s.d._russell_nama2018_ms_inaturalist_13903679|ITS|OP541621.1
Strobilomyces_067	jlf10008|ITS|OP271460.1
Strobilomyces_068	jlf10030|ITS|OP271458.1
Strobilomyces_069	jlf10104|ITS|OP271459.1
Strobilomyces_070	jlf10022b|ITS|OP268435.1
Strobilomyces_071	hkas122534|ITS|ON794358.1
Strobilomyces_072	hkas122520|ITS|ON794348.1
Strobilomyces_073	hkas111720|ITS|ON794225.1
Strobilomyces_074	th10698|ITS|MZ351684.1
Strobilomyces_075	th10421|ITS|MZ351683.1
Strobilomyces_076	th10601|ITS|MZ351682.1
Strobilomyces_077	ns2312|ITS|MZ351681.1
Strobilomyces_078	bd813|ITS|MZ351680.1
Strobilomyces_079	th9865|ITS|MZ351679.1
Strobilomyces_080	th10522|ITS|MZ351512.1
Strobilomyces_081	th10615|ITS|MZ351511.1
Strobilomyces_082	th10426|ITS|MZ351510.1
Strobilomyces_083	th9968|ITS|MZ351509.1
Strobilomyces_084	mhm127|ITS|EU569280.1
Strobilomyces_085	mes_3858|ITS|ON383418.1
Strobilomyces_086	univ.m6|ITS|ON256161.1
Strobilomyces_087	pul:pul00031014|ITS|ON209234.1
Strobilomyces_088	tlb01_tenn|ITS|MF686532.1
Strobilomyces_089	371|ITS|OM972642.1
Strobilomyces_090	333|ITS|OM972604.1
Strobilomyces_091	OL142182.1|ITS|OL142182.1
Strobilomyces_092	s.d._russell_inaturalist_56624678|ITS|OM473797.1
Strobilomyces_093	le315628|ITS|MZ451356.1
Strobilomyces_094	hbl2021_6_7|ITS|OK643802.1
Strobilomyces_095	tjs_10|ITS|OK584449.1
Strobilomyces_096	n.k.zeng3096|ITS|MT822948.1
Strobilomyces_097	n.k.zeng2575|ITS|MT822947.1
Strobilomyces_098	tenn:067287|ITS|MG663282.1
Strobilomyces_099	taxon_330|ITS|MW899493.1
Strobilomyces_100	zmu209|ITS|MW727702.1
Strobilomyces_101	zmu36_its|ITS|MW724193.1
Strobilomyces_102	sfc20140822_57|ITS|MN794906.1
Strobilomyces_103	hkas84832|ITS|MG832090.1
Strobilomyces_104	hkas84755|ITS|MG832089.1
Strobilomyces_105	hkas59435|ITS|MG832088.1
Strobilomyces_106	hkas82418|ITS|MG832087.1
Strobilomyces_107	wu17111|ITS|MG832086.1
Strobilomyces_108	hkas87084|ITS|MG832085.1
Strobilomyces_109	hkas84700|ITS|MG832084.1
Strobilomyces_110	hkas84055|ITS|MG832083.1
Strobilomyces_111	wu17052|ITS|MG832082.1
Strobilomyces_112	wu17033|ITS|MG832081.1
Strobilomyces_113	wu17057|ITS|MG832080.1
Strobilomyces_114	hmas72949|ITS|MG832079.1
Strobilomyces_115	hkas84762|ITS|MG832078.1
Strobilomyces_116	hkas84915|ITS|MG832077.1
Strobilomyces_117	hkas80299|ITS|MG832076.1
Strobilomyces_118	hkas80350|ITS|MG832075.1
Strobilomyces_119	hkas80300|ITS|MG832074.1
Strobilomyces_120	hkas74547|ITS|MG832073.1
Strobilomyces_121	hkas74910|ITS|MG832072.1
Strobilomyces_122	hkas80364|ITS|MG832071.1
Strobilomyces_123	hkas59408|ITS|MG832070.1
Strobilomyces_124	hkas74863|ITS|MG832069.1
Strobilomyces_125	hkas74963|ITS|MG832068.1
Strobilomyces_126	hkas84723|ITS|MG832067.1
Strobilomyces_127	hkas74865|ITS|MG832066.1
Strobilomyces_128	hkas78573|ITS|MG832065.1
Strobilomyces_129	hkas74964|ITS|MG832064.1
Strobilomyces_130	hkas74887|ITS|MG832063.1
Strobilomyces_131	hkas93250|ITS|MG832062.1
Strobilomyces_132	hkas74967|ITS|MG832061.1
Strobilomyces_133	hkas75765|ITS|MG832060.1
Strobilomyces_134	hkas59420|ITS|MG832059.1
Strobilomyces_135	hkas87097|ITS|MG832058.1
Strobilomyces_136	hkas87134|ITS|MG832057.1
Strobilomyces_137	hkas84945|ITS|MG832056.1
Strobilomyces_138	hkas82354|ITS|MG832055.1
Strobilomyces_139	wu17032|ITS|MG832054.1
Strobilomyces_140	hkas81935|ITS|MG832053.1
Strobilomyces_141	hkas80129|ITS|MG832052.1
Strobilomyces_142	hkas75582|ITS|MG832051.1
Strobilomyces_143	hkas73175|ITS|MG832050.1
Strobilomyces_144	hkas84682|ITS|MG832049.1
Strobilomyces_145	hkas78563|ITS|MG832048.1
Strobilomyces_146	hkas74532|ITS|MG832047.1
Strobilomyces_147	hkas74924|ITS|MG832046.1
Strobilomyces_148	hkas77969|ITS|MG832045.1
Strobilomyces_149	hkas57770|ITS|MG832044.1
Strobilomyces_150	otu413|ITS|MT596168.1
