Xerocomellus_001	omdl_inat_236192769|ITS|PX094373.1
Xerocomellus_002	omdl_inat_222753132|ITS|PX094336.1
Xerocomellus_003	vsvc_nama24_inaturalist_250054442|ITS|PV921205.1
Xerocomellus_004	vsvc_nama24_inaturalist_250032376|ITS|PV921104.1
Xerocomellus_005	vsvc_nama24_inaturalist_250072984|ITS|PV921080.1
Xerocomellus_006	vsvc_nama24_inaturalist_250019385|ITS|PV920997.1
Xerocomellus_007	omdl_inat_240136070|ITS|PV911456.1
Xerocomellus_008	ubc:f038709|ITS|PV839195.1
Xerocomellus_009	ubc:f038708|ITS|PV839194.1
Xerocomellus_010	hay_f_000318|ITS|PV791493.1
Xerocomellus_011	fundis_x_soma_camp_inaturalist_258786970|ITS|PV750330.1
Xerocomellus_012	fundis_x_soma_camp_inaturalist_258791356|ITS|PV750316.1
Xerocomellus_013	hay_f_010104|ITS|PV742638.1
Xerocomellus_014	hay_f_013044|ITS|PV706545.1
Xerocomellus_015	hay_f_013780|ITS|PV661697.1
Xerocomellus_016	hay_f_012843|ITS|PV650073.1
Xerocomellus_017	hay_f_011981|ITS|PV650052.1
Xerocomellus_018	x20210714_05|ITS|PV578096.1
Xerocomellus_019	omdl_inat_174163768|ITS|PQ871244.1
Xerocomellus_020	omdl_inat_182408621|ITS|PV534697.1
Xerocomellus_021	fds_ca_05446|ITS|PV470123.1
Xerocomellus_022	fds_ca_06975|ITS|PV469532.1
Xerocomellus_023	ns1394|ITS|KU170043.1
Xerocomellus_024	inaturalist_264145905|ITS|PV440968.1
Xerocomellus_025	jlf9732_az_inaturalist_105727360|ITS|PV419635.1
Xerocomellus_026	omdl_inat_188684229|ITS|PP850732.1
Xerocomellus_027	omdl_inat_188165121|ITS|PP850727.1
Xerocomellus_028	omdl_inat_187333605|ITS|PP850719.1
Xerocomellus_029	omdl_inat_187287310|ITS|PP850718.1
Xerocomellus_030	bb_52|ITS|PV388820.1
Xerocomellus_031	bb_16|ITS|PV388812.1
Xerocomellus_032	bb_15|ITS|PV388811.1
Xerocomellus_033	fds_ca_01983|ITS|PV273162.1
Xerocomellus_034	omdl_inat_173226594|ITS|OR825647.1
Xerocomellus_035	fds_ca_07558|ITS|PV223572.1
Xerocomellus_036	fds_ca_08723|ITS|PV223543.1
Xerocomellus_037	fds_ca_08719|ITS|PV223542.1
Xerocomellus_038	its_vgy_20210803_01_v14|ITS|PV220984.1
Xerocomellus_039	v91_svrg_39|ITS|PV190291.1
Xerocomellus_040	its_vgy_01_06_2019_1|ITS|PV188054.1
Xerocomellus_041	vf150821xf1|ITS|PV170926.1
Xerocomellus_042	omdl_inat_164929687|ITS|OR987266.1
Xerocomellus_043	b1n39r|ITS|PV135234.1
Xerocomellus_044	b1p27r|ITS|PV135233.1
Xerocomellus_045	jlf6562_inaturalist_261281820|ITS|PV132553.1
Xerocomellus_046	jlf6544_az_inaturalist_18277744|ITS|PV123831.1
Xerocomellus_047	mnhn_pc_pc0675996|ITS|PV121478.1
Xerocomellus_048	jlf10944_inaturalist_145400484|ITS|PV112564.1
Xerocomellus_049	jlf10906_inaturalist_145318469|ITS|PV112566.1
Xerocomellus_050	jlf10733_inaturalist_144716452|ITS|PV112563.1
Xerocomellus_051	jlf10000_inaturalist_105935947|ITS|PV112562.1
Xerocomellus_052	jlf7720|ITS|PV105697.1
Xerocomellus_053	jlf10031|ITS|PV105696.1
Xerocomellus_054	jlf9722_az_inaturalist_105724704|ITS|PV075070.1
Xerocomellus_055	321782|ITS|PQ876386.1
Xerocomellus_056	le_f_331396|ITS|PQ876384.1
Xerocomellus_057	omdl_inat_140709346|ITS|PQ847676.1
Xerocomellus_058	hay_f_006469|ITS|PQ817058.1
Xerocomellus_059	jlf13262_az_inaturalist_254565169|ITS|PQ740265.1
Xerocomellus_060	ing32|ITS|PQ682304.1
Xerocomellus_061	jlf13250_az_inaturalist_252545706|ITS|PQ676001.1
Xerocomellus_062	hkas134478|ITS|PP806240.1
Xerocomellus_063	alv42993_rsbol21021_21071801|ITS|PQ637344.1
Xerocomellus_064	cal:1932|ITS|NR_198451.1
Xerocomellus_065	forest|ITS|PQ613555.1
Xerocomellus_066	forest|ITS|PQ613549.1
Xerocomellus_067	omdl_inat_191687849|ITS|PQ492999.1
Xerocomellus_068	omdl_inat_192482204|ITS|PQ492964.1
Xerocomellus_069	omdl_inat_190961874|ITS|PQ492921.1
Xerocomellus_070	fds_ca_01504|ITS|PQ483654.1
Xerocomellus_071	fds_ca_01543|ITS|PQ483604.1
Xerocomellus_072	cs238_csnm_inaturalist219051442|ITS|PQ409135.1
Xerocomellus_073	cs221_csnm_inaturalist219049078|ITS|PQ409121.1
Xerocomellus_074	cs129_csnm_inaturalist186005844|ITS|PQ409043.1
Xerocomellus_075	w3716|ITS|OR828565.1
Xerocomellus_076	wy72|ITS|OR828566.1
Xerocomellus_077	hay_f_006516|ITS|PQ288499.1
Xerocomellus_078	hay_f_007576|ITS|PQ288491.1
Xerocomellus_079	gdgm:43238|ITS|NR_172153.1
Xerocomellus_080	hay_f_003551|ITS|PQ163489.1
Xerocomellus_081	hay_f_006398|ITS|PQ160981.1
Xerocomellus_082	fds_ca_03440|ITS|PQ154671.1
Xerocomellus_083	fds_ca_01631|ITS|PQ148099.1
Xerocomellus_084	hay_f_003957|ITS|PQ144082.1
Xerocomellus_085	fire_survey_633d|ITS|OR244616.1
Xerocomellus_086	fire_survey_633c|ITS|OR244615.1
Xerocomellus_087	fire_survey_63|ITS|OR244607.1
Xerocomellus_088	hay_f_007321|ITS|PP998785.1
Xerocomellus_089	hay_f_004752|ITS|PP998774.1
Xerocomellus_090	hay_f_007277|ITS|PP998756.1
Xerocomellus_091	fds_ca_02047|ITS|PP994959.1
Xerocomellus_092	hay_f_001759|ITS|PP994948.1
Xerocomellus_093	k10s|ITS|LC011386.1
Xerocomellus_094	k04g|ITS|LC011385.1
Xerocomellus_095	hay_f_007915|ITS|PP975362.1
Xerocomellus_096	jlf12838_csnm_inat_223998093|ITS|PP938616.1
Xerocomellus_097	hay_f_005950|ITS|PP864680.1
Xerocomellus_098	mhkmu_l.p._tang_3774|ITS|PP189878.1
Xerocomellus_099	mhkmu_r._xue_94|ITS|PP189877.1
