Xerocomus_001	omdl_mo_524291|ITS|PX094094.1
Xerocomus_002	omdl_inat_228182093|ITS|PV995476.1
Xerocomus_003	omdl_inat_228740834|ITS|PV995468.1
Xerocomus_004	tjp_20220912_21|ITS|PV988009.1
Xerocomus_005	hkas113487|ITS|MZ781596.1
Xerocomus_006	s.d._russell_inat_233018122|ITS|PV939927.1
Xerocomus_007	flas_f_61249|ITS|MH211833.1
Xerocomus_008	flas_f_60972|ITS|MH016921.1
Xerocomus_009	flas_f_60913|ITS|MH016887.1
Xerocomus_010	tj08090|ITS|PP911707.1
Xerocomus_011	omdl_inat_236633730|ITS|PV818652.1
Xerocomus_012	flas_f_72849|ITS|OR813895.1
Xerocomus_013	omdl_mo_465655|ITS|PV754435.1
Xerocomus_014	omdl_inat_157785146|ITS|PV708597.1
Xerocomus_015	s._d._russell_inat_231726876|ITS|PV704755.1
Xerocomus_016	s._d._russell_inat_231726556|ITS|PV704754.1
Xerocomus_017	s._d._russell_inat_231722616|ITS|PV704741.1
Xerocomus_018	s._d._russell_inat_239674803|ITS|PV704726.1
Xerocomus_019	s._d._russell_inat_239675609|ITS|PV704647.1
Xerocomus_020	unca00304|ITS|PV683398.1
Xerocomus_021	hkas109536|ITS|MZ508930.1
Xerocomus_022	hkas115205|ITS|MZ427219.1
Xerocomus_023	hkas114708|ITS|MZ426209.1
Xerocomus_024	uwal_m_0000958|ITS|PP516844.1
Xerocomus_025	omdl_inat_176204885|ITS|OR824666.1
Xerocomus_026	omdl_inat_171475543|ITS|OR785896.1
Xerocomus_027	fds_ca_06521|ITS|PV469563.1
Xerocomus_028	omdl_inat_181756411|ITS|PP573984.1
Xerocomus_029	omdl_inat_180524303|ITS|PP156427.1
Xerocomus_030	omdl_inat_175286457|ITS|PP156411.1
Xerocomus_031	omdl_inat_179624779|ITS|PP156326.1
Xerocomus_032	jlf10887_az_inaturalist_260972615|ITS|PV297971.1
Xerocomus_033	fds_ca_08537|ITS|PV263049.1
Xerocomus_034	omdl_inat_165332563|ITS|OR825552.1
Xerocomus_035	v7|ITS|PV200775.1
Xerocomus_036	g1n2l|ITS|PV135236.1
Xerocomus_037	b1l37c|ITS|PV135235.1
Xerocomus_038	le_f_355897|ITS|PQ865823.1
Xerocomus_039	le_f_355896|ITS|PQ865822.1
Xerocomus_040	omdl_inat_173617413|ITS|PQ734139.1
Xerocomus_041	f_3097|ITS|PQ652963.1
Xerocomus_042	f_1521|ITS|PQ653207.1
Xerocomus_043	f_3875|ITS|PQ652352.1
Xerocomus_044	f_4901|ITS|PQ652286.1
Xerocomus_045	hkas134576|ITS|PP806331.1
Xerocomus_046	hkas134456|ITS|PP806221.1
Xerocomus_047	f_111|ITS|PQ641305.1
Xerocomus_048	alv44752_rsbol22101101|ITS|PQ637293.1
Xerocomus_049	mes3152bwa|ITS|PP277416.1
Xerocomus_050	hay_f_007741|ITS|PQ125012.1
Xerocomus_051	uncultured_ecm_fungus_xerocomus_19|ITS|OR159609.1
Xerocomus_052	hay_f_001744|ITS|PP994896.1
Xerocomus_053	hay_f_007133|ITS|PP975343.1
Xerocomus_054	fds_ca_00743|ITS|PP870081.1
Xerocomus_055	bjtc:fm1790|ITS|NR_191309.1
Xerocomus_056	hmas_293182|ITS|OR237101.1
Xerocomus_057	bpi_925481|ITS|PP830804.1
Xerocomus_058	mhkmu_l.j._su_225_1|ITS|PP189880.1
Xerocomus_059	mhkmu_l.j._su_225|ITS|PP189879.1
Xerocomus_060	mrc76|ITS|PP757777.1
Xerocomus_061	mrc30|ITS|PP757775.1
Xerocomus_062	itcv:df_463|ITS|OQ975744.1
Xerocomus_063	itcv:df_452|ITS|OQ975743.1
Xerocomus_064	itcv:df_442|ITS|OQ975742.1
Xerocomus_065	kd_23_019|ITS|OR707912.1
Xerocomus_066	kd_23_055|ITS|OR707911.1
Xerocomus_067	mrc101|ITS|PP582983.1
Xerocomus_068	le_f_344062|ITS|PP317931.1
Xerocomus_069	mq23_hrl3927|ITS|PP464387.1
Xerocomus_070	y._li3166fhmu6904|ITS|ON652310.1
Xerocomus_071	y._li3109fhmu6901|ITS|ON652309.1
Xerocomus_072	n.k._zeng4104fhmu3794|ITS|ON652308.1
Xerocomus_073	n.k._zeng3395fhmu2974|ITS|ON641116.1
Xerocomus_074	n.k._zeng3190fhmu2151|ITS|ON641115.1
Xerocomus_075	n.k._zeng4664fhmu4940|ITS|ON641114.1
Xerocomus_076	n.k._zeng4672fhmu4967|ITS|ON641113.1
Xerocomus_077	n.k._zeng4677fhmu4925|ITS|ON641112.1
Xerocomus_078	n.k._zeng4678fhmu4922|ITS|ON641111.1
Xerocomus_079	n.k._zeng3794fhmu4718|ITS|ON641110.1
Xerocomus_080	n.k._zeng3611fhmu2825|ITS|ON641109.1
Xerocomus_081	n.k._zeng3561fhmu3059|ITS|ON641108.1
Xerocomus_082	n.k._zeng3559fhmu3071|ITS|ON641107.1
Xerocomus_083	y.g._fan2813|ITS|ON641106.1
Xerocomus_084	y.g._fan2812|ITS|ON641105.1
Xerocomus_085	n.k._zeng4049fhmu3344|ITS|ON641104.1
Xerocomus_086	n.k._zeng3280fhmu2241|ITS|ON641103.1
Xerocomus_087	n.k._zeng2510fhmu1630|ITS|ON641102.1
Xerocomus_088	somf30868|ITS|OQ398599.1
Xerocomus_089	flas_f_69519|ITS|OR052586.1
Xerocomus_090	bpi_925625|ITS|PP102327.1
Xerocomus_091	bpi_925642|ITS|PP102326.1
Xerocomus_092	131_premix|ITS|PP068829.1
Xerocomus_093	jbsd133071_ange1405|ITS|OQ108302.1
Xerocomus_094	jbsd133069_ange965|ITS|OQ108301.1
Xerocomus_095	jbsd133068_ange915|ITS|OQ108300.1
Xerocomus_096	alv38213|ITS|OR941564.1
Xerocomus_097	alv38211|ITS|OR941563.1
Xerocomus_098	alv38210|ITS|OR941562.1
Xerocomus_099	alv38208|ITS|OR941561.1
Xerocomus_100	alv38206|ITS|OR941560.1
Xerocomus_101	alv38205|ITS|OR941559.1
Xerocomus_102	alv38204|ITS|OR941558.1
Xerocomus_103	alv38203|ITS|OR941557.1
Xerocomus_104	alv38202|ITS|OR941556.1
Xerocomus_105	alv38201|ITS|OR941555.1
Xerocomus_106	alv38199|ITS|OR941554.1
Xerocomus_107	alv38212|ITS|OR941566.1
Xerocomus_108	alv38209|ITS|OR941565.1
Xerocomus_109	bjtc_fm2369|ITS|OR655176.1
Xerocomus_110	bjtc_fm2186|ITS|OR655175.1
Xerocomus_111	bjtc_fm1248|ITS|OR655174.1
Xerocomus_112	bjtc_fm1245|ITS|OR655173.1
Xerocomus_113	bjtc_fm1813|ITS|OR655172.1
Xerocomus_114	bjtc_fm1790|ITS|OR655171.1
Xerocomus_115	ysu_f_08933|ITS|OQ873563.1
Xerocomus_116	ysu_f_05660|ITS|OQ873562.1
Xerocomus_117	ysu_f_05286|ITS|OQ873561.1
Xerocomus_118	ysu_f_04653|ITS|OQ873560.1
