Gene Species Taxon Signature
0 aftol_id_716 aftol_id_716 2.4257635116364553
0 hkas75104 hkas75104 0.12442444562886452
0 hkas41151_china hkas41151_china 0.12442444562886452
0 flas_f_68321 flas_f_68321 0.05667619832110108
0 flas_f_68320 flas_f_68320 0.05667619832110108
0 flas_f_60314 flas_f_60314 0.05667619832110108
0 hkas_76655 hkas_76655 0.12442444562886452
0 hkas57692 hkas57692 0.12442444562886452
0 hkas89494 hkas89494 0.12442444562886452
0 hkas_63001 hkas_63001 0.03375529075353049
0 hkas_75077 hkas_75077 0.03375529075353049
0 hkas50214 hkas50214 0.05667619832110108
0 mo334053 mo334053 0.05667619832110108
0 mb04_001 mb04_001 0.05667619832110108
0 flas_f_58917 flas_f_58917 0.03375529075353049
0 hkas_50208 hkas_50208 0.03375529075353049
0 mb06_056 mb06_056 0.03375529075353049
0 hkas_76674 hkas_76674 0.03375529075353049
0 perth_6640133 perth_6640133 0.03375529075353049
0 hkas90200 hkas90200 0.03375529075353049
0 hkas74706 hkas74706 0.03375529075353049
0 hkas74705 hkas74705 0.03375529075353049
0 mb_03_118 mb_03_118 0.03375529075353049
0 hkas_68642 hkas_68642 0.03375529075353049
0 hkas_53422 hkas_53422 0.03375529075353049
0 hkas_53383 hkas_53383 0.03375529075353049
0 hkas_68306 hkas_68306 0.03375529075353049
0 sing_0206334 sing_0206334 0.018792107247503558
0 th8848 th8848 0.018792107247503558
0 henkel_8848 henkel_8848 0.018792107247503558
0 bd374_hq161820_1 bd374_hq161820_1 0.03375529075353049
0 hkas_54450 hkas_54450 0.03375529075353049
0 hkas_76657 hkas_76657 0.03375529075353049
0 179_97 179_97 0.006567581745242477
0 hkas84351 hkas84351 0.006567581745242477
0 hkas_55389 hkas_55389 0.006567581745242477
0 mak_s246 mak_s246 0.006567581745242477
0 hkas_53355 hkas_53355 0.03375529075353049
0 hkas_55357 hkas_55357 0.03375529075353049
0 hkas_52269 hkas_52269 0.03375529075353049
0 hkas_76156 hkas_76156 0.03375529075353049
0 hkas_76157 hkas_76157 0.03375529075353049
0 hkas_57776 hkas_57776 0.03375529075353049
0 hkas_57427 hkas_57427 0.03375529075353049
0 hkas_54803 hkas_54803 0.03375529075353049
0 hkas_74744 hkas_74744 0.03375529075353049
0 hkas_57735 hkas_57735 0.03375529075353049
0 hkas_68284 hkas_68284 0.03375529075353049
0 hkas_58000 hkas_58000 0.018792107247503558
0 hkas57339 hkas57339 0.018792107247503558
0 hkas57765 hkas57765 0.018792107247503558
0 hkas54753 hkas54753 0.018792107247503558
0 brnm_718716 brnm_718716 0.006567581745242477
0 hkas92013 hkas92013 0.006567581745242477
0 hkas59637 hkas59637 0.006567581745242477
0 r0501_ab275263_1 r0501_ab275263_1 0.006567581745242477
0 lf558_mw165280_1 lf558_mw165280_1 0.0021109943939246196
0 hkas_81881 hkas_81881 0.0006877927020805197
0 hkas50295 hkas50295 0.018792107247503558
0 hkas55384 hkas55384 0.018792107247503558
0 gdgm70547 gdgm70547 0.018792107247503558
0 hkas_53387 hkas_53387 0.018792107247503558
0 gdgm42849 gdgm42849 0.018792107247503558
0 gdgm75292 gdgm75292 0.018792107247503558
0 zm56_mn473187_1 zm56_mn473187_1 0.018792107247503558
0 hkas_76158 hkas_76158 0.018792107247503558
0 hkas_76168 hkas_76168 0.018792107247503558
0 gdgm44734 gdgm44734 0.018792107247503558
0 xs1_kf030391_1 xs1_kf030391_1 0.018792107247503558
0 gdgm53336 gdgm53336 0.018792107247503558
0 gdgm44739 gdgm44739 0.018792107247503558
0 gdgm43239 gdgm43239 0.018792107247503558
0 gdgm43502 gdgm43502 0.018792107247503558
0 hkas53374 hkas53374 0.018792107247503558
0 gdgm49735 gdgm49735 0.018792107247503558
0 hkas_53398 hkas_53398 0.018792107247503558
