Gene Species Taxon Signature
0 flas_f_68320 flas_f_68320 0.8158352805757739
0 hkas56495 hkas56495 0.8158352805757739
0 hkas56375 hkas56375 0.8158352805757739
0 zgcsn100 zgcsn100 0.06518707134084843
0 flas_f_68321 flas_f_68321 0.023769162601835356
0 kc887327_1 kc887327_1 0.0176116851821763
0 or1009 or1009 0.0176116851821763
0 fhmu5930_1 fhmu5930_1 0.023769162601835356
0 kc887326_1 kc887326_1 0.017212428261327548
0 perth_6640133 perth_6640133 0.017212428261327548
0 kc887328_1 kc887328_1 0.017212428261327548
0 hkas_50208 hkas_50208 0.017212428261327548
0 kc887325_1 kc887325_1 0.017212428261327548
0 hkas90200 hkas90200 0.017212428261327548
0 or1108 or1108 0.007378154943101233
0 hkas_68178 hkas_68178 0.007378154943101233
0 fhmu5930 fhmu5930 0.023769162601835356
0 or0762 or0762 0.007378154943101233
0 or1184 or1184 0.007378154943101233
0 bc065_mt861161_1 bc065_mt861161_1 0.007378154943101233
0 ny_1193890 ny_1193890 0.007378154943101233
0 ny_1193865 ny_1193865 0.007378154943101233
0 sydney1597 sydney1597 0.007378154943101233
0 or0218 or0218 0.005992748812451081
0 or0363 or0363 0.023769162601835356
0 gdgm43250 gdgm43250 0.023769162601835356
0 zgcsn153 zgcsn153 0.023769162601835356
0 gdgm44464 gdgm44464 0.023769162601835356
0 gdgm46161 gdgm46161 0.023769162601835356
0 n_k_zeng4978_fhmu5554 n_k_zeng4978_fhmu5554 0.023769162601835356
0 n_k_zeng4979_fhmu5560 n_k_zeng4979_fhmu5560 0.023769162601835356
0 or0373 or0373 0.023769162601835356
0 x_h_deng2_fhmu5849 x_h_deng2_fhmu5849 0.023769162601835356
0 fhmu5931 fhmu5931 0.023769162601835356
0 fhmu5933_1 fhmu5933_1 0.023769162601835356
0 fhmu5932 fhmu5932 0.023769162601835356
0 x_h_deng1_fhmu5848 x_h_deng1_fhmu5848 0.023769162601835356
0 fhmu5933 fhmu5933 0.023769162601835356
0 fhmu5931_1 fhmu5931_1 0.023769162601835356
0 fhmu5932_1 fhmu5932_1 0.023769162601835356
0 n_k_zeng4478_fhmu4701 n_k_zeng4478_fhmu4701 0.023769162601835356
0 n_k_zeng4479_fhmu4691 n_k_zeng4479_fhmu4691 0.023769162601835356
0 hkas_53400 hkas_53400 0.023769162601835356
0 hkas_76674 hkas_76674 0.023769162601835356
0 jd0517 jd0517 0.023769162601835356
0 flas_f_58917 flas_f_58917 0.023769162601835356
0 vdko1140 vdko1140 0.023769162601835356
0 hkas84904 hkas84904 0.023769162601835356
0 hkas84882 hkas84882 0.023769162601835356
0 or586_kt824009_1 or586_kt824009_1 0.023769162601835356
0 hkas_74779 hkas_74779 0.023769162601835356
0 vdko1063 vdko1063 0.023769162601835356
0 af2835 af2835 0.023769162601835356
0 bjtc_fm2220 bjtc_fm2220 0.023769162601835356
0 mo334053 mo334053 0.023769162601835356
0 hkas58728 hkas58728 0.007378154943101233
0 pc0723576 pc0723576 0.005209857054316733
0 hkas_53378 hkas_53378 0.005992748812451081
0 hkas84351 hkas84351 0.005209857054316733
0 sydney778 sydney778 0.005209857054316733
0 zt14030 zt14030 0.005209857054316733
0 hkas80115 hkas80115 0.005209857054316733
0 sing_0206334 sing_0206334 0.005992748812451081
0 hkas90202 hkas90202 0.005209857054316733
0 gdgm44776 gdgm44776 0.005992748812451081
0 or0139 or0139 0.005992748812451081
0 gdgm44481 gdgm44481 0.005992748812451081
0 gdgm44480 gdgm44480 0.005992748812451081
0 gdgm44717 gdgm44717 0.005992748812451081
0 hkas57362 hkas57362 0.005992748812451081
0 hkas74952 hkas74952 0.005992748812451081
0 acmf5_mz824748_1 acmf5_mz824748_1 0.005209857054316733
0 mes3141 mes3141 0.005209857054316733
0 or0661 or0661 0.005209857054316733
0 hkas90201 hkas90201 0.005209857054316733
0 hkas90186 hkas90186 0.0037786059696708176
0 sv0235 sv0235 0.005209857054316733
0 sv0159 sv0159 0.005209857054316733
0 sv0213 sv0213 0.005209857054316733
0 or0542 or0542 0.0032378510861579834
0 wu1956 wu1956 0.0032378510861579834
0 hkas_53451 hkas_53451 0.0008495440941877183
0 hkas92013 hkas92013 0.0032378510861579834
0 zgcsn130 zgcsn130 0.0032378510861579834
